c,b,c,b,c,c,c,b,b,b,b,b,e,e,e,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,h,d,k,l,h,g,e,h,d,h,g,e,j,h,d,h,h,e,e
3546.2,3698.7,3819.6,3945.8,4078.4,4220.1,4386.1,4567,4704.1,4868.8,5014.3,5145.9,5305.2,5450.3,5589.8,5743.7,5885.7,6021.3,6153.2,6299.6,6446.3,6590.3,6715.8,6861.5,7001.2,7151.3,7231.8,7328,7449.1,7535.7,7656.1,7776.8,7912.1,8019.3,8088,8236.3,8369.5,8514.8,8657.6,8737.6,8834.1,8958.5,9046.2,9166.5,9282.7,9416.8,9537.2,9596.4,9744.9,9868.5,10015,10163,10242,10341,10462,10552,10673,10794,10927,11036,11105,11271,11384,11513,11619,11731,11799,11945,12075,12187,12298,12367,12597,12750,12915,13046,13161,13283,13420,13556,13692,13842,13954,14080,14235,14384,14534
3574.4,3730.7,3856,3981.7,4114,4259.4,4421.6,4608.5,4771.1,4935.7,5081.4,5215.9,5361.2,5505.2,5642.9,5798.3,5941,6073.4,6208.8,6353.4,6500.2,6648,6792.2,6938.4,7080.2,7210.7,7298.5,7393.2,7492.9,7621.6,7745.1,7839.7,7963.3,8076.9,8154.8,8291.9,8447.8,8590,8716.6,8804.5,8901.5,9004.4,9138.5,9253.8,9347.1,9467,9586,9665.5,9798.6,9945.8,10091,10220,10309,10410,10508,10645,10764,10855,10978,11093,11169,11309,11441,11548,11671,11791,11868,12000,12113,12240,12356,12438,12619,12785,12968,13085,13214,13324,13447,13609,13766,13880,14008,14120,14263,14440,14578
