g,c,b,b,b,c,c,b,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
1993.8,2153.1,2294.2,2416.3,2548.6,2686.8,2820.8,2954.6,3079,3226.8,3368.3,3516,3661.8,3809.9,3950.1,4095,4232.9,4361.1,4490.1,4620.8,4746.9,4884.1,5015.6,5162.6,5308.3,5458.2,5605.8,5687,5783.7,5900.2,5989.5,6112.8,6233.7,6366.2,6481.5,6544.5,6708.8,6844.5,6963.5,7107.8,7240.1,7369.6,7501.6,7635.7,7764.8,7911.1,8052.6,8203.6,8285.8,8385.2,8502.6,8590.5,8709.6,8830,8960.5,9079.1,9141,9310.6,9421.4,9555.5,9702.8,9850.1,9932.6,10030,10148,10237,10357,10479,10613,10733,10797,10927,11078,11226,11374,11455,11554,11674,11763,11885,12008,12142,12255,12327
2017.5,2176.5,2317.7,2446.4,2582.7,2722.6,2853.1,3000.3,3139.2,3296.7,3432.9,3580.4,3733,3878.2,4015.5,4149.9,4286.8,4414.7,4544.7,4676.2,4802,4939.7,5087.5,5230.9,5381,5533.2,5660.1,5751.2,5844.9,5943.1,6080.9,6203,6291.4,6418.3,6530,6608.1,6748.9,6887.4,7026.4,7160.8,7295.8,7425.8,7560.1,7691,7837.2,7985,8121.1,8257.8,8348.8,8447.5,8546.6,8681.4,8799.7,8887.4,9012.9,9126.2,9204.4,9346.4,9477.3,9628.7,9770.2,9907.5,9995.2,10090,10192,10332,10448,10535,10665,10781,10859,11001,11151,11299,11432,11520,11616,11720,11861,11974,12064,12194,12322,12368
