c,c,b,c,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,g,e,h,d,k,l,e,h,d,k,l,e,h,d,k,l
2551.2,2693.5,2837.6,2951.1,3078.4,3200.2,3331.8,3462.2,3604.4,3755.7,3910.6,4061.3,4223,4365.7,4510.3,4639.1,4773.3,4921.5,5065.8,5214.6,5353.9,5499,5647.6,5800.6,5885.7,5981,6102.6,6193.2,6315,6434.8,6565.4,6682.5,6744.8,6896.7,7019.5,7167.1,7315.3,7462,7546.3,7643.5,7763.3,7853.8,7973.8,8094.5,8229.3,8340.6,8411.5,8562.8,8698.3,8848.6,8997.9,9080.7,9179.2,9298,9390.3,9510.4,9636.2,9769.8,9882.1,9951.5,10227,10375,10507,10615,10734,10799,10950,11078,11183,11305,11372,11516,11643,11763,11890,11953
2573.5,2724.1,2864.6,2982.1,3115.7,3232.8,3371.3,3525.2,3669.2,3817.3,3975.5,4121.2,4287,4419.9,4564.4,4695.2,4828,4975.9,5119.1,5268.8,5424.3,5569.6,5721.6,5859.7,5949.6,6044.6,6148.7,6287,6405.8,6493.4,6617.7,6729.9,6810.3,6951.7,7092.5,7238.9,7386.9,7520.8,7609.7,7706.6,7805.5,7943.8,8063.8,8153.5,8281.9,8390.6,8475,8617.7,8771.6,8925,9057,9144.8,9242.8,9342.1,9483.4,9605.2,9696.2,9822.1,9939.3,10019,10257,10424,10539,10665,10778,10861,11005,11111,11229,11353,11436,11572,11677,11816,11935,11991
