c,c,b,b,c,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,e,e,e,e,j,j,j,j,h,l,b,e,h,d,k,l,e,h,d,k,l,e,h,h,e,h,g,g,g,e,h,h,d,k,l,b,b,b,b,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2419.5,2547.3,2678.5,2814.1,2951.8,3085.5,3225.1,3352,3490,3635.2,3783.1,3925,4058.4,4198.9,4325.1,4445.8,4581.4,4724.7,4860.9,5003.1,5146.9,5289.8,5370.8,5468.8,5588.1,5678.2,5799.8,5918.9,6049.5,6168.1,6230.5,6395.7,6512.8,6644.9,6782.4,6928.2,7066.4,7200.2,7337.6,7463,7603,7746.2,7896.8,8044.4,8130.9,8365.6,8467.4,8597,8701.2,8819,8881.2,9020.7,9150,9257.6,9378,9440,9594.5,9714.6,9857.8,9998.9,10130,10266,10417,10570,10705,10847,10983,11098,11217,11281,11449,11561,11696,11841,11981,12129,12262,12409,12559,12641,12741,12857,12945,13065,13183,13315,13434,13496,13642,13768,13873,13994,14057,14204,14330,14477,14626,14772,14855,14953,15074,15163,15284,15408,15541,15669,15738
2450.9,2578.1,2712.1,2850.6,3008,3149.6,3288,3419.1,3557.7,3708.4,3851.6,3981.2,4112.4,4252.7,4377.2,4502.7,4638.3,4781,4935.3,5076.3,5222.6,5349.6,5434.9,5529.5,5634.3,5769.9,5890.8,5981.4,6102.7,6215.2,6295.3,6438.2,6579.5,6713.5,6848.4,6984.3,7122.6,7255.9,7395.2,7538.6,7671,7821.8,7959.1,8083.5,8193.6,8388.4,8521.8,8630.3,8753.6,8867.1,8947.7,9075.7,9186.5,9311.7,9427.1,9505.1,9648.4,9754.6,9889,10052,10165,10293,10450,10602,10759,10896,11017,11151,11267,11346,11488,11624,11766,11908,12052,12186,12331,12486,12619,12706,12802,12901,13037,13155,13240,13367,13483,13561,13699,13806,13927,14044,14122,14262,14406,14554,14702,14833,14920,15019,15116,15256,15375,15470,15599,15694,15781
