h,c,c,c,c,c,c,c,c,b,b,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e
6874.5,7038.4,7177.3,7315.5,7457.1,7595.4,7732.5,7869.6,8001.6,8142.3,8286.3,8462.8,8621.7,8762.3,8894.3,9033.5,9175.3,9304.3,9451.3,9602.8,9756,9904.1,9985.1,10081,10204,10291,10412,10529,10663,10774,10844,11002,11125,11251,11395,11539,11692,11771,11868,11987,12074,12194,12314,12448,12557,12627,12800,12912,13040,13185,13332,13481,13562,13659,13780,13869,13990,14109,14242,14361,14422,14570
6898.5,7068.2,7210.5,7350.6,7488.6,7630.7,7768.8,7904.1,8034.1,8209.8,8351.4,8515.7,8675.5,8816.3,8946.4,9088.7,9228,9379.8,9527.3,9679,9833.9,9962.8,10052,10147,10245,10382,10497,10590,10716,10828,10912,11047,11182,11329,11472,11619,11750,11837,11935,12030,12169,12285,12378,12499,12615,12694,12841,12969,13120,13262,13410,13539,13630,13725,13826,13962,14077,14171,14294,14408,14490,14622
