b,c,c,b,c,c,b,b,b,b,c,b,b,b,b,b,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,j,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,g,e,h,g,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,g,b,e,h,d,k,l,e,h,d,k,l
2538.5,2663.7,2811.4,2936.7,3088.2,3227.8,3387.1,3540.5,3683.7,3844,4022.7,4171.3,4346.3,4497.6,4654.9,4808.1,4955.7,5101.2,5241.1,5384.7,5526.3,5675.4,5811.9,5961.5,6113.2,6265.9,6348.6,6447.3,6568.3,6660.2,6782.6,6906.2,7042.4,7164.2,7227.6,7377.9,7512.7,7660.5,7811,7893.6,7995.1,8116.3,8205.7,8328.4,8449.9,8585.2,8706.1,8768.8,8934.4,9052.1,9196.8,9303.5,9426.6,9490.6,9637.3,9762.6,10052,10192,10492,10640,10783,10892,11015,11078,11226,11358,11467,11668,11817,11903,11999,12121,12212,12333,12454,12589,12711,12773,13056,13217,13333,13454,13565,13678,13750,13896,14030,14150,14264,14341
2564.5,2692.1,2833.4,2963.6,3125.7,3264.8,3446,3601.8,3748.8,3908.3,4072,4239.9,4414.7,4563,4723.6,4877.1,5010.2,5154.6,5295.7,5437.5,5579.8,5728.9,5882,6031.5,6186.7,6321.4,6413.7,6508.7,6613,6751.1,6874,6966.2,7090.3,7211.1,7289.6,7434.6,7584.5,7733.8,7867.6,7959.3,8059.5,8159.6,8295.2,8415.2,8505.1,8633.4,8755.7,8832.3,8975.2,9106.6,9232.7,9358,9475.3,9553,9690.3,9797.9,10107,10223,10523,10694,10820,10942,11065,11140,11281,11432,11586,11741,11874,11968,12061,12167,12304,12421,12513,12641,12761,12839,13088,13255,13385,13494,13619,13734,13814,13951,14066,14205,14326,14374
