c,c,c,c,c,c,c,b,c,b,b,b,e,e,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d
3004.8,3136,3230.3,3396.3,3522.3,3654.5,3827.7,3991.4,4203.3,4349.2,4512,4676.7,4840.2,4995,5156.1,5307.6,5450,5585.8,5716.7,5868.7,6025.8,6186,6338.4,6492.9,6575.2,6673.6,6798,6887.1,7010.1,7133.9,7271.7,7384.3,7454.4,7624.7,7745.3,7879.3,7991.8
3026.5,3173.6,3320.9,3437.6,3561.4,3726.2,3898.7,4062.8,4259.7,4421.3,4583.4,4745.7,4892,5049.8,5209,5361.8,5505.9,5640.8,5794.5,5947,6103.8,6262.3,6417.2,6554.1,6641.8,6739.6,6842.4,6983.5,7100.9,7199,7324.2,7441.4,7520.8,7672,7800.9,7914,8044.3
