g,g,g,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,g,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l
2665.8,2835.8,3010.2,3150.7,3293,3425.7,3564.6,3700.5,3836,3980.3,4123.5,4265.5,4345.8,4441.4,4559.2,4647,4765.3,4885.1,4969.3,5341.6,5515.1,5624.5,5761.3,5896,6033.9,6172.1,6310.7,6432.7,6572.1,6715.5,6860.7,6942.3,7039.1,7155.6,7242.3,7360.4,7480.2,7613.2,7728.9,7789.7,7968.3,8081.2,8218.9,8359.3,8489.5,8619.5,8746.1,8869.1,9009.5,9157.8,9304.2,9384.4,9481.2,9597.5,9682.8,9801.3,9920.5,10052,10171,10233,10394,10509,10633,10736,10857,10919,11062,11186,11336,11480,11625,11706,11803,11920,12009,12129,12250,12382,12496,12562
2695.6,2869.6,3038.2,3201.8,3346.6,3482.9,3620.4,3755,3908.6,4049.8,4197.2,4323.8,4409.3,4504.7,4608,4737,4853.9,4951.6,5072.8,5368.6,5551,5689.3,5824.6,5960,6089.3,6228.1,6366.6,6499.1,6644.3,6787.6,6918.1,7005.3,7100,7200.6,7330.6,7450.9,7543.8,7665.5,7777.8,7854,8009,8146.5,8286.4,8416.3,8545.8,8674.3,8802.3,8939.3,9082,9229.2,9364.4,9449.3,9542.4,9643.1,9773.6,9890.5,9978.2,10103,10219,10296,10433,10564,10670,10788,10910,10982,11117,11262,11407,11555,11684,11772,11866,11964,12100,12216,12312,12434,12539,12599
