g,c,b,b,c,b,c,c,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,g,b,b,b,b,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,i,l,l,d,f,f,g,e,b,e,h,d,k,l,e,h,h,h,g,e,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,b,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,g
2819.5,2989.2,3131,3275.8,3415.9,3556,3700.9,3845.7,4004,4134.2,4272.7,4419,4560.5,4702.7,4837.4,4971.4,5101.7,5233.2,5376.7,5530.2,5672.8,5753.7,5851.9,7895.3,8054.9,8175.6,8318.9,8458.5,8596.3,8732.7,8869.1,8996.6,9141.1,9281.5,9427.8,9511.8,9604.3,9722.2,9811,9928.1,10047,10179,10289,10356,10497,10623,10768,10911,10994,11090,11209,11298,11417,11536,11666,11782,11844,11990,12116,12262,12413,12563,12645,12739,12860,12949,13072,13530,13671,13845,13960,14091,14205,14328,14391,14540,14680,14820,14970,15127,15285,15419,15570,15656,15754,15880,15970,16091,16212,16345,16467,16529,16749,16860,16991,17104,17216,17287,17467,17577,17656,17872,18020,18170,18321,18403,18501,18624,18714,18838,18959,19097,19216,19281,19696
2841.7,3018.3,3162.4,3306.8,3449.2,3593.7,3730.2,3874.5,4065.6,4196.4,4334.8,4484.5,4615,4756.5,4893.1,5024.2,5155.3,5304.2,5448.5,5599.8,5730.3,5817.5,5897.9,7921.1,8093.8,8235.7,8383.7,8521.2,8650.5,8785,8922.5,9071.3,9216.8,9352.9,9485.1,9573,9666.8,9768.8,9904.2,10022,10111,10230,10342,10420,10553,10698,10841,10972,11057,11152,11255,11392,11507,11594,11720,11831,11908,12045,12190,12337,12487,12622,12708,12802,12905,13044,13158,13554,13714,13882,14014,14127,14257,14376,14454,14592,14717,14841,15004,15159,15340,15494,15611,15721,15818,15926,16065,16184,16271,16400,16519,16596,16786,16915,17030,17156,17272,17351,17500,17633,17796,17946,18092,18243,18378,18469,18564,18669,18809,18926,19019,19149,19264,19345,19724
