c,c,c,c,c,c,c,c,c,b,b,b,b,e,e,e,e,e,e,j,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,e,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,k,l,b,e,g,g,e,h,d,k,l,b,b,b,e,h,d,h,h,e,h,d,k,l,g,g,e,h,h,d,h,h,h,e,j,j,i,l,l,d,f,f,i,d,k,l
3958.3,4097.6,4345.6,4522.3,4814.9,4945.1,5098.3,5249.4,5384.9,5536,5677.3,5815.4,5983.7,6133.7,6286.9,6430.7,6624.4,6776.1,6940.1,7087.8,7245.7,7399.9,7555,7710.6,7855.9,7940.4,8036.3,8155.6,8247.9,8371.8,8498.6,8637.8,8762.1,8826.4,9007.2,9116.5,9256.1,9402.7,9548.8,9680.8,9814.9,9949.1,10083,10231,10381,10466,10563,10684,10777,10900,11023,11160,11278,11343,11493,11623,11731,11847,11919,12068,12199,12350,12501,12587,12691,12813,12906,13032,13158,13293,13415,13479,13630,13759,13869,13992,14056,14210,14342,14452,14570,14642,14824,14935,15160,15320,15471,15606,15718,15834,15903,16092,16206,16350,16505,16667,16784,16916,17073,17208,17346,17459,17576,17647,17928,18093,18253,18391,18546,18666,18799,18952,19112,19247,19382,19531,19686,19771,19865,19987,20078,20202,20326,20465,20589,20654
3987.6,4125.9,4373.6,4548.7,4853,4984.9,5127.9,5289.2,5449.3,5598.6,5739.9,5881.3,6049.5,6186.6,6341.3,6483.7,6681.2,6831.9,6994,7153.8,7314.6,7469,7628.9,7783.2,7913.5,8002.8,8100.6,8203.1,8342.2,8466.2,8556.5,8686.4,8807.1,8888.4,9041.9,9178.6,9324.3,9469,9605.2,9739.5,9871,10008,10152,10303,10439,10526,10625,10728,10873,10993,11083,11211,11324,11405,11546,11661,11788,11901,11981,12124,12275,12424,12563,12654,12753,12858,12997,13126,13216,13343,13463,13543,13683,13796,13922,14040,14121,14264,14382,14506,14626,14708,14856,14989,15189,15350,15527,15642,15771,15887,15968,16126,16276,16419,16558,16702,16838,16954,17098,17264,17381,17510,17629,17713,17961,18126,18309,18439,18582,18720,18833,18981,19133,19302,19455,19605,19743,19835,19930,20032,20173,20296,20389,20517,20637,20716
