c,b,c,c,b,b,b,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,h,h,e,h,d,k,l,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,h,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l
4638.8,4761.7,4912.7,5070.3,5230.8,5373.8,5509.6,5642,5798.4,5948.1,6097.7,6256.6,6404.4,6539.8,6691.8,6827.2,6973.1,7115.3,7250,7402.2,7551,7702.2,7787.8,7888.2,8007.7,8097.2,8221.6,8342.4,8474.7,8595.1,8657.4,8825.1,8936.8,9074.3,9213.5,9350.4,9503.5,9586.9,9685.2,9805.5,9896.5,10016,10139,10272,10385,10455,10597,10729,10874,11025,11179,11276,11429,11565,11694,11810,11924,11995,12140,12268,12414,12561,12711,12796,12894,13016,13104,13227,13348,13482,13592,13662,13835,13952,14086,14193,14307,14378,14530,14657,14807,14958,15041,15139,15262,15354,15481,15604,15739,15854,15926
4664.1,4789.1,4941.2,5101.7,5265.2,5409.7,5565,5709.1,5861.7,6009.9,6162.9,6310.3,6457.2,6594.8,6745.4,6881.7,7025,7170.6,7322.1,7475.5,7622,7762.2,7851.9,7951.8,8051.4,8192.1,8310.8,8400.3,8524.7,8641.1,8723.4,8858.7,8996.5,9136.6,9266.6,9422.8,9561.1,9653.7,9750.2,9850,9992.8,10112,10199,10321,10432,10518,10652,10801,10947,11099,11238,11305,11453,11622,11731,11861,11975,12059,12195,12344,12488,12635,12770,12859,12959,13059,13196,13319,13408,13532,13646,13728,13874,14007,14119,14244,14359,14448,14587,14732,14881,15018,15105,15205,15308,15450,15574,15664,15791,15906,15990
