c,b,b,b,b,b,b,b,e,e,e,e,e,j,b,b,b,b,b,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,e,g,e,h,d,k,l
3325,3454.3,3595.4,3740.8,3910.7,4033.4,4183.5,4331.3,4489.2,4636.9,4768.5,4900.9,5039.8,5175.9,5398.9,5514.9,5651.2,5788.6,5934.4,6072.4,6205.4,6338,6471.2,6611.7,6749.8,6891,7033.3,7112.6,7208.1,7325.8,7414.7,7534.7,7653.4,7780.3,7894.6,7955.8,8122.5,8238.4,8462.6,8579.4,8719.8,8857,8995.8,9132.7,9263,9386.7,9513.8,9655.5,9799.1,9943.4,10024,10119,10239,10328,10449,10568,10699,10814,10876,11018,11201,11337,11463,11573,11692,11755
3355.7,3483.6,3626.2,3775.3,3939,4074.2,4250.7,4396.2,4544.1,4691.9,4820.8,4954.9,5093.2,5249.4,5439.4,5578.4,5718.4,5855.4,6001.2,6128.9,6263.7,6394.3,6540.4,6681.3,6820.8,6965.6,7089.4,7177.1,7272.8,7370.2,7507.6,7625.6,7711.7,7832.8,7943.3,8020.5,8164.6,8307.3,8512.9,8647.6,8786.5,8912.7,9051,9188.9,9320.7,9444.3,9588.5,9727.4,9872.1,9998.4,10087,10187,10282,10419,10540,10625,10751,10864,10941,11065,11227,11392,11501,11627,11743,11818
