g,b,b,b,b,c,b,c,b,b,b,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,j,j,i,l,l,d,f,f,i,d,k,l
3077.9,3237.6,3389.2,3559.7,3690.2,3826.5,3964.9,4108.5,4228.2,4372,4534.5,4685.1,4825.9,4962.4,5093.3,5230.5,5371.6,5512.4,5666.8,5810.4,5893.4,5996.1,6113.5,6201.2,6320.9,6442.1,6574.2,6693.3,6754.8,6911.6,7022.5,7152.2,7293.2,7433.1,7564.4,7708,7855.5,7995.4,8078.3,8172.5,8300.5,8388.7,8505.7,8624.9,8756.7,8886.4,8947.1
3103.4,3265.8,3417.2,3586.8,3721.8,3856.5,3998.6,4146.8,4292.6,4435.3,4599.5,4738.4,4879.6,5017.2,5145.8,5283.8,5439.2,5589,5739,5864.8,5956.1,6059.1,6156.8,6291.3,6410.7,6500,6626.3,6741,6816.3,6946.7,7083.8,7215.9,7348.8,7486.2,7620.8,7770.4,7918.8,8050.8,8140.7,8234.4,8342.5,8480,8595.7,8686.6,8807.9,8931.4,8997.9
