c,c,c,c,c,c,b,b,b,b,b,b,e,e,e,e,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,b,b,e,e,e,e,e,h,d,h,h,e,j,i,l,l,d,f,f,i,d,k,l
2713.9,2843.2,2974.2,3120.8,3268.1,3407,3550,3694.3,3833.6,3974.9,4135.2,4274.8,4429.8,4581,4728,4861,4993.5,5133.4,5271.8,5420.4,5563.6,5712,5862.6,6020.9,6169.5,6252.8,6353.9,6474.4,6563.5,6684,6808,6941.5,7063.7,7126.3,7275.9,7403.5,7556.6,7706.2,7852.4,8004.2,8085.1,8184.8,8307.9,8396.9,8519.7,8640.8,8774.5,8893.3,8955.6,9150.2,9265.4,9392,9541.7,9687.2,9772.2,9877.8,10001,10090,10211,10334,10470,10593,10654,10830,10949,11094,11238,11390,11534,11664,11802,11972,12081,12202,12346,12481,12611,12772,12857,12955,13080,13171,13293,13417,13551,13664,13735
2735.2,2876,3010.1,3153.4,3305.3,3446.8,3612.3,3757.6,3904.7,4043.1,4202.3,4343.3,4484.9,4635.4,4783,4914.6,5048.1,5185.4,5324.8,5476.3,5634.7,5787.4,5941.6,6096.8,6229.6,6317.5,6415.9,6517.4,6648.2,6771.7,6865,6993.3,7110.2,7191.8,7330.8,7483.6,7632.9,7782.9,7928.7,8061.4,8153.3,8248.6,8350.9,8488.5,8603.2,8701.3,8826.8,8942.6,9022.9,9187.5,9322.2,9470.5,9619.5,9747.7,9841.4,9946.6,10046,10180,10301,10396,10522,10640,10723,10870,11020,11162,11294,11447,11588,11717,11855,12001,12134,12239,12372,12538,12689,12833,12923,13023,13126,13260,13384,13481,13605,13720,13803
