c,b,c,b,b,c,c,c,c,c,b,b,b,e,e,e,e,j,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,h,d,k,l,e,h,d,h,g,e,h,h
2184,2343.1,2479.9,2640.4,2773.6,2902.1,3042.5,3193.3,3330,3484.8,3615.7,3753.6,3918.6,4053.3,4199.3,4332.3,4473.6,4610.1,4743.8,4893,5037.3,5183.8,5263.4,5371.6,5490.4,5577.2,5700.5,5821.2,5956.4,6074.8,6136.6,6303.9,6419.9,6547,6683.7,6828.4,6909.2,7009.2,7125,7214,7333.3,7453.5,7585.3,7701.5,7764.3,7951.2,8067.2,8194.9,8338.4,8481,8564.2,8662.1,8780.9,8870.9,8991.8,9113.4,9242.8,9359.1,9420.8,9569.3,9694.6,9800.8,9919.3,9980.6,10126,10257,10371,10493,10635,10783,10914,11067
2207.7,2371.8,2509.5,2669.8,2802.5,2936,3080,3227.9,3365.8,3534.4,3678.2,3821.2,3982.3,4107.5,4253,4386.6,4526.7,4676.1,4817.1,4967.3,5106.6,5240.2,5328.2,5432.4,5529.9,5664.2,5793.6,5880,6008.1,6121.1,6199.7,6345.1,6475.6,6619.4,6752.6,6884.4,6973.4,7070.5,7168,7306.2,7422.7,7514.4,7637.1,7753.8,7825.8,7992.3,8121.3,8267.1,8413.9,8538.6,8628.7,8725.6,8827.4,8961.9,9082,9169.1,9295.4,9406.7,9485.3,9621.6,9731.3,9852.7,9966.8,10045,10182,10293,10426,10531,10657,10835,10952,11092
