g,c,b,b,b,b,c,b,b,b,b,e,e,e,e,e,e,e,j,j,j,i,l,l,d,f,f,i,d,k,l,b,e,j,j,i,l,l,d,f,f,i,d,k,l,e,j,j,i,l,l,d,f,f,i,d,k,l,e
2455.6,2626.4,2909.7,3038.8,3196,3323.4,3470.8,3623.1,3777.6,3884.2,4024.4,4170.8,4310.9,4447.4,4576.5,4703.6,4850.5,4988.7,5120.8,5259,5402.1,5545.2,5627.2,5732.2,5846.8,5934.5,6054,6175.7,6306.8,6423.9,6486.3,6658.5,6770.2,6899.4,7047.3,7190.8,7273.1,7368.2,7485.8,7573.2,7691.9,7810.3,7942.8,8062,8124.3,8268,8397.3,8542.9,8686.9,8768.6,8867,8986.5,9073.7,9197.5,9320.5,9453.5,9570.9,9635.1,9781.8
2479.8,2648.6,2941.7,3069.4,3229.8,3354.2,3496.1,3674.4,3815,3946,4086.8,4223.6,4365,4501.7,4631.3,4758.3,4905.8,5043.6,5192.9,5329,5473.4,5601,5691.4,5790.4,5889.2,6024,6145.6,6229.3,6357.8,6471.8,6548.5,6701.4,6824.3,6972,7119.8,7246.8,7337.2,7431.7,7529.4,7663.6,7778.8,7867.5,7993.7,8113.5,8186.9,8325,8466.9,8615.9,8745.4,8833,8931.5,9032.4,9167.2,9291.1,9377.2,9505.3,9622.2,9698.6,9834
