u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1362.7,1541.2,1713.8,1959.4,2102.3,2209.5,2303.3,2480.1,2651.6,2870.8,3000.1,3106.4,3279.2,3410.7,3565.9,3708.2,3808.8,3906,4081.8,4255.2,4463.1,4588.3,4693.1,4850.2,4951.8,5119.6,5250.1,5406.7,5544.9,5642.5,5736.5,5915.5,6092.6,6298.8,6431,6636.1,6728.1,6822.8,6993.1,7164.4,7376.3,7493.2,7594,7739,7839.6,8010.3,8138.4,8290.9,8426.7,8526.7,8620.7,8785.8,8957.1,9158.3,9281.2,9383.9,9528.4,9629.2,9804.6,9937.9,10099,10234,10333,10425,10591,10770,10981,11182,11268,11364,11541,11718,11923,12038,12144,12291,12392,12557,12694,12859,12997,13097,13191,13366,13544,13748,14212,14305,14401,14579,14756,14990,15111,15213,15363,15465,15637,15768,15928,16065,16163,16257,16431,16615,16828,16953,17059,17209,17306,17488,17622,17790,17939,18036,18135,18324,18506
1395.6,1579.7,1780.2,2028.3,2171.4,2279.5,2364.5,2579.1,2737.8,2931.1,3051,3188.8,3343.8,3477.8,3642.5,3783,3883.4,3967.7,4191.1,4344,4526.1,4643.9,4780.6,4902.7,5037.2,5190.6,5315.1,5488.4,5615.8,5715.1,5802.3,6021.3,6183.8,6361.2,6499.6,6700.9,6802.1,6887.7,7105.2,7254.9,7435.8,7542.3,7673,7787.9,7922.4,8080.2,8208.6,8372.8,8503.1,8600.2,8684.7,8897.8,9048.9,9224.5,9332.6,9464.8,9579.1,9710.2,9874.5,10009,10179,10308,10408,10494,10703,10861,11045,11243,11345,11430,11648,11811,11990,12090,12228,12342,12482,12632,12766,12945,13074,13172,13257,13479,13615,13822,14277,14384,14466,14695,14849,15053,15164,15292,15416,15541,15710,15838,16010,16138,16235,16323,16542,16706,16896,17007,17143,17258,17394,17563,17694,17873,18015,18116,18199,18437,18555
