u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r
1133.2,1284.8,1456,1628.9,1806.6,1979.6,2222.9,2365.8,2476.5,2573.7,2757.2,2939.3,3156.6,3292.3,3400,3565.8,3705.9,3879.7,4026.7,4128.3,4223.7,4403.2,4584.8,4803.5,4934.1,5039.8,5216,5347.6,5522,5666.8,5765.8,5865.3,6040.9,6223.4,6439.8,6566.3,6674.5,6853.9,6992
1176,1333.6,1498.2,1681,1854.7,2066.8,2302.3,2444.5,2553.9,2645.6,2874.2,3033.8,3214.2,3352.5,3487,3641.8,3784.1,3958.3,4105.9,4206.6,4295.3,4532.7,4686.6,4872.3,4993.6,5135.8,5291.7,5425.7,5606.9,5740.5,5845.1,5947,6167.5,6321.5,6511.6,6628.8,6763.3,6932.4,7071
