u,u,r,n,n,a,b,l,e,t,d,x,s,r,u,s,l,u,r,n,n,a,b,l,e,t,n,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r
3247.4,3401.9,3553.9,3769.1,3906.4,4006.4,4099.3,4288.4,4462.6,4671.8,4811.8,4917.4,5086.4,5222.5,5661.7,5814.1,6055.1,6557,6685.8,6880,7023,7120.8,7212.6,7382.4,7554.2,7755.5,7874.4,7976.8,8144.2,8268.7,8422.3,8554.4,8651.3,8745.9,8906.8,9077.7,9280.8,9398.6,9500,9652.4,9749.5,9900.8,10029,10180,10317,10412,10510,10677,10854,11055,11178,11281,11425,11525,11696,11824,11973,12104,12201,12294,12470,12646,12854,12972,13076,13227,13325,13485,13616,13775,13916,14014,14109,14287,14475,14679,14881,14968,15064,15231,15407,15620,15743,15847,15996,16097,16262,16364,16529,16667
3286.7,3451.8,3635.3,3843.8,3979.3,4081.1,4166.6,4404.6,4556.9,4736.8,4869.1,5005.8,5154.2,5299.1,5700.3,6035.5,6117.8,6611,6776.4,6957.3,7095.6,7191.9,7283.3,7502.8,7651.4,7821.2,7930.8,8061.8,8216.1,8344.8,8502,8627.3,8726.7,8822.8,9027.8,9171.8,9341.9,9455.9,9592.1,9703,9836.9,9975.3,10105,10264,10390,10493,10576,10793,10948,11119,11231,11373,11478,11613,11771,11902,12056,12178,12280,12361,12589,12741,12922,13028,13169,13290,13417,13558,13690,13861,13990,14092,14182,14414,14578,14768,14945,15047,15138,15357,15515,15688,15796,15934,16052,16187,16312,16451,16599,16741
