u,u,u,u,r,n,n,a,b,l,e,t,d,x,s
1345.4,1499,1663,1821,1981.3,2207.9,2357.5,2465,2560.2,2731.1,2913.1,3128.3,3258.4,3365.5,3539.4
1388,1550.3,1704.7,1871.9,2053.2,2282.6,2431.7,2539.4,2625,2851.4,3005.1,3190,3318.8,3450.9,3606.8
