u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1064.2,1340.8,1506.7,1655.6,1813,1979,2222.9,2366.3,2465.8,2561.3,2739.5,2915.7,3127.4,3250.1,3354.5,3522.9,3653.6,3811.6,3952.8,4049.1,4144.8,4325.3,4497.6,4713.8,4841.6,4943.7,5107.4,5234.5,5397.6,5536.1,5640,5731.8,5919.7,6092.1,6299.6,6417.2,6522.6,6671.6,6771.5,6936.6,7066.1,7221.5,7361.8,7464.8,7557.6,7720.7,7892.8,8111.1,8232.5,8336.6,8487.8,8585.3,8749.6,8876,9036.2,9174.9,9277.2,9370.1,9548.6,9725.2,9937.4,10059,10162,10311,10411,10582,10713,10872,11009,11108,11200,11375,11552,11776,11895,11999,12148,12249,12421,12552,12720,12861,12962,13054,13241,13422,13628,13834,13918,14013
1102.3,1381.1,1544.2,1701.6,1868,2068.4,2291.8,2437.4,2537.8,2622.4,2852.2,3007.2,3189.1,3303.8,3440.6,3591.1,3729.2,3891.7,4024.4,4125,4216.2,4444.2,4587.3,4774.1,4903.9,5034.4,5179,5308.1,5477.7,5613,5712.7,5800.7,6042.8,6180.6,6362.3,6477.8,6600.7,6726.6,6862.2,7008.3,7138.8,7304.7,7439.2,7540.9,7631.2,7842.1,7988,8179.9,8290.8,8422.5,8539.1,8676.6,8826.4,8953.3,9120.5,9255.7,9351,9444.1,9670.1,9815.6,10005,10113,10246,10374,10498,10658,10786,10949,11086,11184,11271,11493,11647,11840,11953,12088,12212,12329,12493,12630,12800,12939,13040,13127,13364,13516,13717,13891,13994,14086
