r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1718,1950.9,2097.8,2190.1,2287,2468.8,2644.3,2855.8,2980.7,3084.8,3256.7,3394.7,3549.3,3686.8,3783.2,3878,4053.7,4226.2,4430,4554.2,4658.5,4813.7,4915.4,5084.1,5217.7,5369.2,5506.1,5608.3,5702.7,5885.1,6053.7,6258.9,6379.8,6480.6,6634.2,6733.1,6909.8,7039,7194,7328.8,7426.2,7520.8,7690.3,7865.5,8063.3,8292.3,8362,8460.7,8634.6,8804.2,9012,9132.4,9233.1,9375.8,9476.7,9652.2,9786.8,9963.5,10099,10195,10290,10462,10637,10842,11067,11164,11259,11444,11624,11837,11953,12054,12212,12311,12489,12616,12773,12914,13016,13111,13293,13484,13709,13833,13935,14091,14188,14367,14506,14661,14804,14898,14997,15180,15357,15549,15771,15858,15954,16142,16321,16537,16659,16762,16925,17024,17191,17334,17505,17648,17744,17842
1779,2024.2,2161.3,2262.9,2347.2,2568.2,2731.1,2918.1,3031.5,3161.8,3328.9,3458.4,3626.1,3757.3,3857.1,3942.1,4153.4,4316,4496.6,4605.6,4737.2,4864.1,4993.6,5155,5282.2,5446,5578.5,5682.3,5765,5987.9,6142.3,6329.2,6431,6560,6682.7,6822.2,6981.8,7109.8,7271.1,7405.3,7501.4,7583.6,7803.3,7956.2,8131.2,8328,8440.2,8524.8,8740.7,8897,9081,9185.4,9299,9426.3,9543.3,9725.5,9857.5,10044,10172,10272,10352,10575,10731,10921,11123,11242,11324,11555,11715,11906,12004,12135,12261,12393,12562,12687,12846,12989,13094,13175,13403,13575,13781,13886,14020,14142,14268,14437,14573,14739,14873,14977,15063,15279,15440,15627,15832,15933,16018,16253,16408,16607,16708,16842,16977,17101,17271,17402,17579,17721,17823,17909
