u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,n
1584.6,1739.2,1973.1,2123.9,2228.7,2321.5,2507.8,2688.8,2918.7,3053.9,3159.9,3340,3474.1,3638.5,3780.4,3882.2,3981.8,4144.7,4323.4,4528.4,4734.8,4820.8,4917.6,5117.1,5295.8
1627.9,1823.4,2043.1,2193.3,2298.1,2382.6,2611.8,2755.3,2985,3104.1,3242.7,3407.9,3544.4,3718.2,3853.2,3953.9,4048.8,4258.9,4412.2,4595.9,4790.6,4897.5,4981.3,5214.8,5337.3
