u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1040.1,1200.3,1356.8,1637.4,1777.5,1986.3,2131.2,2231.8,2327.9,2520,2697.2,2909,3039.4,3149.8,3316.9,3455.2,3620.8,3765.6,3865.2,3967.2,4152.1,4325.5,4535.8,4660.3,4766.8,4923.1,5024.7,5190.1,5357.8,5487.1,5628.3,5731.5,5827.2,6028.1,6201.1,6412.8,6542,6648.6,6805.7,6908.8,7078.8,7209.8,7369,7505.3,7605.7,7702.2,7880.4,8057.2,8280.1,8404.1,8510.7,8659.3,8763.1,8936.8,9074,9226.9,9368.8,9472.3,9570.8,9760.6,9943.6,10193,10328,10434,10592,10694,10863,10999,11152,11297,11396,11493,11684,11863,12079,12211,12318,12467,12572,12741,12882,13041,13192,13287,13384,13576,13761,13990,14126,14235,14391,14493,14680
1086.4,1234.3,1438.7,1678.9,1855.8,2062.9,2203.2,2303.8,2388,2633.6,2788.5,2969.1,3089.6,3221.8,3392.5,3520.9,3703.6,3840.7,3943,4029.3,4268.7,4417.1,4597.1,4712.2,4848.1,4971.2,5108.5,5262.7,5395,5566.8,5705.8,5809.3,5889,6136.7,6293.2,6479.3,6597.1,6731.1,6857.2,6996,7153.8,7279.3,7450.2,7577.4,7681.3,7767.8,7995.2,8152.4,8344.3,8462.5,8594.6,8714.9,8843,9010,9145.5,9304.7,9446.8,9551.1,9634.9,9868.8,10037,10257,10385,10513,10644,10775,10940,11068,11239,11375,11474,11564,11803,11952,12150,12268,12397,12522,12657,12815,12958,13130,13265,13369,13451,13691,13855,14060,14183,14317,14445,14576,14752
