r,n,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1779.8,1981.7,2121.3,2887.1,3029.9,3229.1,3373.9,3477.2,3573.8,3756.7,3934.8,4141.7,4268.4,4375.5,4547.4,4685.1,4855.8,4993.6,5096.9,5191.1,5363.3,5544.6,5762.2,5893,6000.3,6170.7,6303.9,6469.9,6613.8,6714.6,6811.5,6990.7,7163.4,7377.4,7496.8,7603.9,7765.9,7899.7,8058.3,8202.1,8302.3,8400.3,8576.6,8759,8980.6,9106.1,9213.9,9359.6,9463.3,9635.3,9767.8,9936.1,10078,10184,10280,10457,10633,10849,10977,11082,11236,11341,11513,11646,11811,11951,12052,12152,12325,12514,12759,12868,13076,13170,13264,13440,13627,13851,13972,14080,14234,14335,14513,14640,14824,14965,15071,15172,15362,15553,15795,15923,16032,16188,16292,16472,16611,16776,16921,17027,17125,17319,17508,17746,17877,17986,18159,18263,18439,18579,18755,18912,19013,19110,19300,19487,19720,19854,19964,20120,20225,20406,20546,20723,20870,20974,21069
1859.1,2050.8,2191.2,2931.7,3121.2,3309.2,3443.8,3551.9,3644.2,3875.6,4027.2,4207.4,4328.2,4458.8,4621.6,4754.2,4931.6,5069.4,5168.2,5259,5481.5,5639.1,5828.8,5948.7,6088.5,6242,6376.2,6547.8,6687.2,6785.7,6877.4,7111.2,7257,7443.1,7557.3,7689.9,7841.7,7975.4,8144.4,8277.9,8378.3,8473.5,8698.6,8856.9,9049.7,9162.2,9300.2,9407.7,9554.4,9709,9844.9,10015,10157,10261,10356,10583,10727,10919,11040,11178,11297,11439,11584,11729,11893,12025,12129,12223,12449,12603,12817,12958,13143,13245,13337,13561,13720,13918,14032,14170,14294,14429,14589,14723,14907,15047,15153,15240,15482,15649,15862,15985,16121,16248,16385,16548,16686,16857,17004,17104,17200,17441,17600,17819,17932,18080,18216,18351,18515,18656,18842,18991,19086,19183,19420,19587,19793,19917,20050,20175,20317,20484,20628,20809,20946,21049,21140
