u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1794.3,1967.3,2194.6,2336.3,2433.2,2530.2,2715.6,2893.3,3100.5,3229.7,3336.4,3503.2,3638.1,3805.6,3944.7,4043.3,4140.9,4314.7,4495.1,4665.8,4786.1,4889.1,5056.6,5185.1,5351,5489.8,5585.8,5680.7,5855.7,6030.7,6244.5,6364.8,6470.1,6618.3,6716.5,6883.5,7020.7,7184.9,7323.8,7424,7523.9,7692.8,7867.4,8082.4,8208.4,8312.1,8466.7,8568.6,8741.1,8870.1,9032.2,9170.6,9267.2,9362.6,9533.7,9706.4,9930.9,10051,10157,10307,10410,10584,10717,10895,11038,11138,11236
1840.8,2045.7,2267.3,2410.4,2511.4,2594.4,2826.9,2982.7,3165.5,3288.4,3418.1,3582.8,3710.2,3887.4,4022,4121.2,4207.6,4427.8,4543.6,4728.3,4837.2,4972.2,5130,5262.3,5428.9,5562.4,5662.5,5744.7,5976.9,6124.2,6308.2,6424,6549.4,6673.8,6797.5,6960.6,7091.3,7267.3,7400.5,7502.7,7586.3,7799.6,7958.7,8151.9,8263.4,8393.5,8521.4,8642.6,8812.5,8938.2,9114.3,9242.8,9344.8,9428,9641,9799.5,9995.9,10110,10236,10361,10492,10666,10789,10977,11114,11220,11302
