u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,l,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d
1338.8,1492.9,1662.8,1829.9,1983.8,2193.1,2327,2432.6,2524.9,2705.3,2874.2,3073.3,3196.6,3299.9,3457.5,3592.6,3764.5,3896.8,3995.6,4091.1,4264.2,4444.3,4646.9,4766,4867.3,5016.4,5115.6,5279.4,5408.1,5560.8,5697.6,5796,5892.9,6060.1,6238.4,6443,6630.6,6720.1,6815.2,6982.1,7158.8,7365.3,7478.4,7582.6,7730.5,7829,7986.8,8087.4,8260.7,8387.5,8545.2,8685.1,8792.4,8885.3,9062.9,9236.8,9448.4,9568.9,9675.2,9832.8,9934.8,10111,10238,10397,10542,10640,10734,10912,11089,11284,11485,11572,11668,11854,12034,12246,12369,12477,12621,12722,12889,13022,13190,13330,13432,13528,13711,13896,14118,14250,14354,14501,14606,14773,14911,15082,15225,15322,15421,15606,15787,16004,16136,16242,16399,16502,16661,16767,16950,17082,17268,17408,17512,17606,17791,17976,18222,18369,18476,18634,18739,18936,19074,19250,19397,19499,19592,19768,19953,20158,20386,20474,20570,20771,20962,21185,21308,21413,21569,21673,21859,21992,22161,22316,22440,22530,22736,22921,23134,23394,23554,23774,23927,24029,24124,24307,24494,24719,24848,24953,25115,25215,25397,25533,25713,25853,25956,26054,26406,26602,26753,26980,27124,27225,27319,27502,27686,27904,28031,28138,28306,28411,28595,28735,28906,29066,29220,29284,29474,29658,29909,30039,30154,30321
1382.1,1540.5,1716.8,1883.8,2074.9,2267,2407.3,2501.9,2590.2,2818.5,2969,3136.3,3255.5,3386.1,3532.1,3671.8,3839.7,3971.6,4071.7,4154.9,4391.5,4533.4,4712,4820.5,4952,5076.7,5205.4,5350.8,5490.7,5640.2,5770.9,5871.9,5968,6186.2,6334.9,6531.8,6695.1,6797,6885.2,7110.2,7249.9,7429.6,7537.8,7673.7,7786.3,7926.2,8044.3,8188.1,8332,8465.8,8629.1,8767.2,8868.1,8959.5,9190.7,9330.6,9516.3,9626.4,9771.8,9888.5,10030,10185,10320,10480,10615,10718,10809,11036,11190,11372,11545,11647,11737,11978,12131,12320,12426,12563,12680,12815,12968,13099,13276,13407,13510,13604,13833,13991,14189,14312,14437,14561,14694,14848,14997,15169,15302,15402,15492,15724,15881,16075,16197,16325,16458,16588,16720,16862,17022,17161,17343,17487,17587,17679,17915,18074,18294,18433,18565,18691,18836,19012,19159,19335,19473,19575,19667,19887,20045,20235,20450,20549,20639,20889,21059,21252,21367,21499,21627,21761,21931,22068,22225,22398,22514,22601,22860,23017,23217,23456,23649,23857,24006,24106,24189,24425,24588,24791,24906,25043,25174,25301,25475,25610,25773,25928,26034,26120,26456,26666,26845,27060,27201,27302,27398,27627,27778,27975,28093,28230,28366,28503,28669,28814,28988,29135,29264,29362,29598,29754,29981,30100,30246,30372
