u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n
1063.7,1222.2,1563.9,1725.5,1964.1,2114.2,2210.7,2309.2,2492.1,2669.6,2882.4,2997.6,3100.8,3265.2,3399.4,3559.6,3699.9,3799.1,3895,4063.7,4237.2,4433.9,4637.7,4722.9,4820.8,4991.4,5169.2,5380.9,5502.7,5608.9,5763.1,5863.4,6030.8,6160.6,6317.4,6449.9,6549.5,6645.1,6817.3,6989.7,7197.4,7321.3,7426.4,7574.2,7675.6,7843.3,7974.8,8130.5,8270.7,8369.2,8465.9,8634.4,8812.7,9014.2,9209.1,9284.5,9382.4,9572.7,9753.1,9965.6,10083,10186,10335,10437,10597,10726,10880
1104,1268.7,1620,1804.4,2042.3,2180.2,2283.8,2374.2,2599.8,2756.9,2944.2,3048.2,3184.9,3338.9,3470.7,3637.9,3772.9,3871.2,3957.1,4173.5,4330.3,4504.6,4692.9,4802.1,4887.5,5108.6,5261,5447.2,5555.1,5688.7,5811,5953.9,6101.7,6231.5,6397.2,6525,6626.9,6713.1,6931.1,7079.9,7261.9,7375.6,7505.3,7631,7763,7916.3,8046.8,8213.8,8345.6,8447.3,8529.3,8758.7,8904.5,9090,9261.1,9365.6,9453.5,9699.8,9851.7,10032,10141,10269,10390,10522,10672,10797,10962
