u,u,u,u,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1126.5,1283.2,1452.5,1623.7,1772.5,1989.7,2138.1,2239.7,2331.9,2772.9,2908.8,3116.1,3254.8,3354.5,3447.8,3615.8,3788.4,3997.6,4119.1,4225,4391.1,4520.1,4681.1,4816.4,4916.1,5009.3,5181.5,5364.3,5561.2,5774.1,5856.3,5951.5,6128.3,6300.2,6516.1,6637.1,6742.7,6900.4,7000.1,7163.9,7283.8,7441.8,7578.6,7678.6,7770.8,7938.9,8110.9,8311.6,8508.8,8588,8684.4,8850.7,9029.7,9243.9,9362.7,9465.9,9613.9,9715.5,9871.7,9969,10130,10259,10415,10556,10655,10748,10922,11099,11314,11523,11613,11705,11907,12086,12306,12422,12527,12675,12778,12950,13084,13242,13395,13492,13586,13773,13955
1171.2,1327.5,1500,1673.4,1857.3,2067.2,2211.1,2313.2,2390.5,2822.1,3006.3,3196.2,3327.9,3426.8,3520.6,3733.9,3878.3,4059.9,4179,4312.8,4460.4,4597,4760.8,4889.6,4991,5077.6,5305.4,5456.6,5646.8,5824.1,5930.1,6024.5,6244.8,6397,6583.3,6694.4,6833.6,6957.5,7088.6,7232.6,7363.8,7518.7,7654,7749.7,7846.6,8060.9,8210.3,8396.4,8563.7,8667.4,8752.8,8976.8,9127.6,9309.8,9421.2,9554.3,9671.3,9802.7,9923.7,10059,10209,10336,10504,10630,10729,10819,11040,11189,11392,11582,11693,11781,12022,12180,12373,12482,12609,12731,12862,13025,13156,13326,13466,13567,13656,13889,14018
