r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1529.2,1786.6,1938.8,2153.8,2304.6,2406.5,2497.8,2672.2,2849,3057.6,3174.8,3278.3,3451,3580.4,3739.1,3879.6,3982.1,4077.7,4240.7,4418.6,4625.9,4749.4,4852.8,5002.9,5107.1,5277.7,5406.2,5565.5,5708.5,5805.4,5902.6,6074.9,6249.3,6463.5,6588.2,6693.1,6844.8,6947.9,7128.7,7261.1,7418.8,7563.1,7666.8,7764.2,7941.5,8121.8,8331.8,8460.9,8565.9,8709,8810.6,8971.7,9103.5,9273.1,9415.5,9517.4,9609.7,9782.9,9962.7,10186,10309,10413,10570,10671,10854,10987,11150,11291,11394,11491,11677,11865,12088,12291,12374,12473,12646,12825,13052,13174,13278,13431,13534,13712,13846,14011,14163,14263,14358
1605,1844.1,2023.6,2235.1,2380.8,2482.1,2564.3,2783.9,2935.2,3120.9,3229.9,3358.5,3524.7,3665.4,3824.7,3955.5,4059,4147.6,4352.7,4505.4,4693.9,4806.8,4936.4,5058.5,5191.8,5353.3,5480.9,5645.8,5780.5,5887,5970,6191.6,6344.9,6533.8,6645.5,6774.7,6901.7,7031.4,7199.6,7334.4,7497.5,7640.3,7748,7830.6,8056.6,8217.4,8398.8,8519.7,8649.7,8765.2,8885.6,9043.7,9180,9351.9,9489.2,9593.1,9680.2,9900.2,10056,10257,10371,10498,10624,10754,10927,11063,11233,11371,11477,11558,11787,11957,12169,12352,12456,12541,12752,12910,13122,13233,13355,13488,13613,13788,13929,14096,14235,14339,14429
