u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,u,r,n,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,w,u,r,n,n,a,b
1497.2,1626.3,1805.7,1990,2261.1,2415.8,2519.8,2616.7,2819.4,3006.7,3223.7,3354.2,3460.6,3639.5,3764.1,3927.4,4067.6,4169,4264.4,4444.7,4628.4,4848,4973.9,5080.4,5247.7,5387,5556.2,5699.6,5802.4,5902.6,6073.7,6259.1,6486.3,6608.3,6717.7,6900.8,7037.3,7207.8,7349.8,7451.5,7553,7730,7914.8,8134.1,8254.4,8359.1,8506.5,8610.4,8794.8,8938,9102.3,9252,9356.8,9452.1,9629.9,9818.1,10042,10165,10273,10430,10532,10709,10848,11004,11147,11252,11350,11540,11728,11933,12138,12223,12320,12503,12689,12914,13040,13149,13309,13412,13598,13730,13906,14045,14154,14252,14436,14620,14852,14984,15097,15255,15361,15560,15701,15875,16028,16130,16227,16416,16604,16839,16969,17079,17240,17349,17533,17674,17863,18015,18119,18218,18419,18607,18852,18987,19097,19257,19365,19537,19648,19833,19970,20150,20403,20561,20773,20922,21031,21129,21334,21521,21736,21866,21975,22140,22245,22468,22615,22787,22949,23057,23155,23342,23530,24090,24232,24442,24592,24701,24798
1529,1681.1,1861.7,2085.3,2338.7,2493,2594.8,2683.7,2938.5,3099.9,3283.4,3413.8,3546.4,3709.8,3842.9,4006.7,4141.7,4244.8,4332,4568.4,4727.1,4911.9,5035.8,5171.8,5322.2,5462.8,5636.8,5776.2,5880,5970.7,6198,6353.9,6550.8,6669.2,6806.6,6976.1,7115.4,7293.6,7426.2,7531.1,7629.2,7855.4,8006.4,8202.2,8311.8,8444.3,8565.2,8702.3,8872,9019.7,9184.6,9332.6,9431.3,9531,9761.3,9921.8,10118,10225,10358,10492,10617,10789,10936,11092,11226,11330,11427,11664,11824,12016,12195,12300,12398,12630,12787,12986,13104,13242,13367,13506,13674,13822,13984,14132,14231,14335,14562,14716,14921,15046,15188,15314,15447,15635,15781,15968,16104,16209,16304,16534,16703,16909,17029,17166,17302,17442,17612,17756,17950,18092,18198,18294,18540,18708,18929,19048,19188,19316,19457,19599,19735,19910,20060,20194,20467,20650,20860,21008,21109,21205,21449,21572,21810,21923,22066,22199,22335,22539,22692,22870,23031,23137,23223,23465,23583,24154,24331,24531,24673,24779,24876
