r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,w
1735.2,1947,2083.2,2178.7,2276.9,2480.4,2655.2,2854.6,2980.2,3084.2,3242.1,3372.7,3534.9,3676.4,3775.8,3868.5,4037.8,4214.5,4468.8,4586.2,4691.5,4862.4,4989.4,5161.3,5298.1,5396.6,5489.5,5664.2,5834,6040.9,6166,6270.2,6423.7,6523.2,6684.1,6817.8,6980.8,7119.2,7219.4,7310.8,7479.3,7654.3,7872.3,7995,8101.1,8256.6,8356.7,8520.8,8666,8842.3,8984.3,9079.5,9177.7,9349.3,9527,9737.2,9863.7,9970,10121,10225,10419,10554,10716,10857,10955,11049,11224,11397,11618,11751,11857,12008,12109,12284,12421,12591,12736,12836,12932,13117,13299,13525,13670,13778,13934,14037,14220,14356,14525,14668,14769,14866,15063,15241
1804.2,2018.8,2149.5,2251.4,2335.7,2579.2,2741,2917.2,3033.1,3165.3,3312.2,3444.2,3613.9,3750,3846.8,3936.6,4150.5,4300.1,4532.4,4633.2,4767,4933.8,5061.3,5241.3,5378.5,5469.3,5555.8,5770.1,5921.8,6105.8,6216.1,6347.8,6471.7,6600.1,6759.9,6885.8,7056.9,7196.1,7292.1,7376.4,7587,7751.6,7938.8,8047.7,8188.2,8310.6,8438.8,8598.4,8742.9,8919.1,9056.8,9158.6,9243.7,9468.3,9619.3,9808.2,9920.4,10048,10180,10305,10494,10624,10794,10929,11030,11117,11339,11490,11689,11810,11938,12064,12189,12360,12495,12676,12811,12914,13000,13237,13390,13594,13728,13860,13991,14118,14291,14434,14608,14746,14848,14933,15182,15290
