r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r
1364.6,1629.1,1768.1,1979.2,2118.1,2220.1,2317.8,2496.7,2673.7,2892.4,3018.3,3126.7,3302.2,3436.7,3597.1,3739.7,3837.7,3935.2,4108.4,4287.6,4508,4634.7,4740.2,4891.4,4994.7,5174.9,5308.7,5478.3,5614.2,5722.7,5819.8,6005.2,6179.8,6410.8,6536.8,6642.8,6794.9,6898.2,7063.8,7197.2,7353.3,7496.5,7601,7696.3,7867.3,8041.9,8243.8,8439.3,8522.5,8622.4,8794.9,8970.1,9190.7,9312.5,9417.6,9567,9670.3,9843.9,9980.6,10142,10284,10383,10479,10663,10839,11062,11186,11292,11450,11553,11724,11862,12036,12177,12275,12373,12550,12729,12929,13131,13214,13312,13498,13677,13901,14022,14127,14278,14382,14554,14688,14844,14989,15085,15183,15376,15555,15788,15918,16025,16187,16291,16481,16623,16794,16943,17044,17139,17321,17516,17724,17944,18033,18133,18310,18496,18719,18856,18963,19133,19237,19415,19564
1438.2,1672.2,1845.2,2051.4,2190.1,2292.4,2376.8,2611.1,2756,2952.3,3068.2,3198.6,3368.7,3499.1,3673.3,3814.6,3908.9,3997.3,4225.6,4377.3,4567.2,4684.5,4823.2,4945.8,5060.7,5244.8,5378,5558.4,5694.1,5794.8,5881,6113.8,6271.6,6476,6588.8,6724.4,6849,6972.6,7136.6,7264.2,7433.2,7573.9,7672.1,7761.3,7973.8,8133.5,8311.2,8497,8605.7,8686.8,8904.6,9058.9,9255.5,9371.7,9502.2,9619.2,9757.8,9916.2,10054,10228,10359,10459,10546,10776,10929,11127,11239,11371,11506,11634,11800,11934,12121,12249,12350,12441,12663,12817,13002,13186,13294,13379,13607,13768,13967,14080,14213,14333,14469,14628,14761,14926,15060,15158,15245,15487,15623,15858,15973,16114,16244,16377,16557,16697,16882,17019,17121,17205,17445,17613,17805,18004,18114,18201,18428,18589,18788,18909,19045,19186,19315,19488,19631
