r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x
1341.5,1604.8,1749.9,1966.3,2123.9,2224,2318.4,2498.6,2676.2,2882.5,3011.2,3116.2,3292.3,3422.7,3589,3725.6,3822.4,3916.9,4089.9,4262.2,4464.9,4587.2,4689.2
1414.4,1637.5,1823.8,2041.8,2191.2,2293.8,2381,2605.7,2756.9,2947.9,3060.6,3200.5,3361.8,3489.4,3662.1,3798,3898.9,3975.8,4203.9,4344.5,4527.2,4638,4765.1
