u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1266.4,1424.7,1594.1,1756.5,1985.6,2121.8,2220,2309.3,2495.8,2668.8,2879.2,3010.8,3113.5,3276.5,3409.6,3573.3,3718.6,3815.5,3909.8,4084.8,4254.2,4460.7,4584.4,4687.8,4868.6,5004.2,5287.9,5418.2,5607.4,5743.8,5838,5929.9,6098.4,6270.9,6478.6,6594.8,6697.6,6840.8,6941.1,7112.4,7239,7398.3,7536.7,7630.8,7728.2,7897.8,8070.3,8271.2,8455.1,8533.7,8631.2,8810.8,8979.8,9187.2,9305,9406.3,9554.6,9652.5,9819.8,9951.8,10116,10252,10348,10441,10622,10795,11007,11133,11238,11386,11488,11670,11807,11978,12122,12222,12319,12497,12668,12877,13077,13165,13260,13449
1302.5,1461.8,1629.8,1836.7,2057.7,2195,2289.4,2371.8,2603.9,2755.7,2942.8,3062.8,3190.5,3344,3480.2,3652.1,3794.7,3888.8,3977.5,4193,4344,4521.9,4637.1,4772.8,4935.4,5079.7,5351.3,5507.8,5691,5815.2,5914.5,5999.9,6215.2,6363.4,6545.2,6653,6778.4,6896.2,7021.3,7186.8,7308.9,7476.9,7606.8,7709,7793.3,8013.5,8162.4,8341.6,8511.7,8614.1,8695.9,8923.2,9070.4,9250.5,9361.8,9488.7,9608.6,9730.2,9891.8,10034,10196,10324,10426,10511,10748,10886,11074,11193,11325,11441,11578,11745,11884,12061,12203,12305,12389,12616,12766,12954,13143,13247,13329,13558
