r,r,n,n,a,b,l,e,t,n,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1272.2,1731.9,1946.2,2086,2178.7,2276.2,2457.6,2623.6,2830.5,2953.4,3059.2,3230.5,3360.9,3513.7,3652.5,3752.8,3847.1,4019.3,4191,4389,4586.9,4669.8,4765.1,4929.6,5106.7,5315.7,5430.2,5532.3,5687.8,5787.1,5951.2,6081.6,6235.5,6369.5,6467.6,6563.9,6743.7,6915.4,7120.8,7240.5,7343.8,7498.7,7598.1,7773.7,7898.8,8056.6
1334.6,1805.8,2019.8,2150.1,2248.5,2334.3,2557.6,2705.4,2894.9,3002.7,3133,3301.8,3423.5,3590.8,3725.6,3827.7,3911.5,4133.3,4272.5,4455.8,4634.1,4742.8,4823.7,5038.9,5192.8,5381.2,5480.7,5615.5,5735.1,5864.3,6026.4,6149.4,6315,6443.5,6544.2,6628.4,6855.3,7004.2,7187.3,7291.9,7425.2,7545.3,7677,7840.7,7964.9,8133.8
