u,u,r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x
1168.7,1334.6,1959.5,2290.6,2437.3,2653.8,2794.2,2893.2,2983.4,3156.1,3326.6,3523.8,3646.9,3747.9,3907.9,4039.1,4196.6,4335,4433.5,4528.9,4693.8,4868.5,5074.7,5191.4,5291.6,5453.1,5576.5,5741.1,5885.9,5986.1,6076.5,6242.5,6415.1,6619.5,6735.3,6835.7,6983.3,7081.7,7248.1,7370.5,7521.2,7657.7,7755.9,7850.8,8021.6,8190.6,8387.4,8581.1,8657.7,8751.2,8918.9,9094.7,9298.3,9417.5,9517.8,9668.3,9765.8,9935.8,10062,10216,10354,10454,10550,10715,10887,11100,11220,11324,11473,11573,11735,11867,12019,12162,12266,12363,12538,12719,12936,13067,13171,13332,13432,13601,13738,13908,14052,14150,14244,14414,14593,14836,14993,15101
1208.2,1368.3,2049.9,2337.9,2530.3,2734.7,2866.9,2965.1,3046.2,3274.3,3416.6,3586.9,3702.9,3835.3,3981.4,4111.6,4276.5,4410.2,4508.1,4592.9,4817.2,4955.5,5139.8,5246.1,5371,5524.8,5655.3,5827.9,5960.5,6053.6,6139.5,6353.5,6496.7,6683.5,6787.2,6916.8,7038.6,7164.3,7316.8,7440,7603,7732.8,7831.4,7915.7,8129.9,8275.2,8462,8637.1,8735.5,8814,9035.1,9183.5,9362.7,9468.5,9598.7,9720.5,9849.1,10011,10137,10298,10435,10530,10617,10833,10973,11165,11277,11401,11525,11646,11809,11942,12098,12242,12346,12428,12645,12806,13005,13122,13246,13388,13518,13679,13811,13985,14130,14226,14312,14531,14684,14901,15050,15188
