u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s
1112.1,1288.4,1426.5,1609.7,1786.4,1955,2175,2322.5,2427.6,2521.7,2695.4,2867.2,3078.1,3200.8,3306.5,3470.5,3603.5,3757.3,3897.8,3998,4095.8,4258.4,4432.4,4644.3,4774.4,4876.3,5031.8,5133.5,5306.2,5438.6,5603.6,5741.9,5843.3,5937.7,6111.8,6288.1,6503.8,6630.2,6735.5,6894,6994.1,7161.2,7291.6,7450.1,7591.1,7695.8,7789.3,7957.3,8136,8347.7,8470.8,8576.3,8751.8,8853.7,9022.8,9155.2,9323.5,9475.7,9580.1,9676.9,9851.2,10034,10267,10391,10498,10649,10751,10925,11026,11194,11329,11484,11627,11729,11824,12001,12183,12396,12520,12625,12777,12882,13070,13213,13386,13536,13640,13733,13928,14110,14293,14415,14519,14676,14781,14969
1147.6,1329.3,1476.2,1651.2,1836.9,2031.7,2256.1,2397.8,2500.7,2586.1,2802.8,2963.5,3142,3255.1,3395,3544.2,3679.2,3833.6,3973.8,4074.9,4161.9,4373.8,4521,4712.4,4831.1,4954.4,5087.9,5221.6,5382.6,5510.7,5686.7,5818.6,5921.9,6006.9,6225.9,6379.4,6569,6687,6815.9,6949.4,7078.6,7234.5,7358.8,7531,7668.6,7772.1,7855.5,8081.8,8234.9,8418.2,8528.8,8658.2,8808.9,8934.8,9096.4,9227.8,9411.8,9554.7,9658.3,9749.1,9967.7,10128,10335,10452,10582,10709,10838,10978,11106,11269,11398,11564,11702,11808,11892,12118,12283,12468,12578,12710,12833,12969,13146,13290,13471,13616,13717,13803,14045,14163,14362,14475,14608,14735,14863,15042
