u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r
1096.2,1251.4,1419.4,1598.3,1754.5,1977.7,2117.8,2219.6,2310.9,2492.8,2666.6,2876.7,3002.8,3107.9,3279.6,3413.6,3575.5,3721.6,3818.4,3911.8,4087,4267.9,4477,4597,4701.7,4888.7,4987.7,5154.5,5289.3,5448.7,5593.5,5695.5,5790.1,5964.7,6139.8,6354.4,6477.2,6581.3,6727.3,6830.3,6997.4,7126.2,7281.3,7421.3,7520,7615.9,7792.6,7967.4,8179.1,8298.1,8403.8,8556.3,8657.8,8843,8969.3,9123.5,9261.4,9359.2,9451.7,9621.2,9800.3,10018,10216,10302,10395,10563,10741,10969,11094,11200,11348,11451,11623,11753,11918,12056,12159,12255,12431,12610,12812,13012,13100,13196,13372,13557,13773,13900,14006,14160,14263,14449,14595,14760,14904,15005,15100,15291,15473,15700,15821,15928,16096,16200,16364,16469,16645,16780
1134.5,1297.8,1459.6,1651.1,1839.8,2050.4,2188.2,2292.2,2378.5,2608.6,2755.1,2937.2,3060.9,3192.5,3354,3491,3659.9,3793.2,3890.9,3979.4,4206.9,4360.7,4543.9,4656.3,4788.6,4943.2,5072.5,5227.6,5358.6,5526.4,5669,5769.4,5854.9,6086.6,6232.5,6423.8,6534.4,6664.3,6783.3,6914.8,7070.3,7197,7367.7,7495.9,7595,7684.8,7910.9,8061.3,8250,8354.1,8486.3,8612.3,8742.4,8916,9048.1,9205.5,9336.4,9433.3,9526.8,9738.3,9893.7,10106,10277,10377,10466,10689,10836,11040,11152,11290,11408,11541,11699,11835,12003,12136,12234,12322,12549,12706,12893,13070,13178,13268,13493,13651,13843,13959,14097,14216,14351,14523,14665,14842,14980,15081,15175,15409,15568,15768,15877,16011,16152,16286,16421,16550,16720,16855
