u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1157.4,1297.2,1461.6,1638.2,1824.6,1976.3,2202.3,2347.5,2453.7,2549.5,2733.5,2914.1,3125.5,3253.8,3361.7,3531.3,3666.7,3829,3971.7,4073.4,4171.4,4344.4,4521.1,4734.1,4857.5,4962,5129.9,5261.9,5432.2,5576.4,5680,5776.1,5948.6,6124.6,6335.8,6458.4,6564.1,6724.9,6822.6,6993,7123.2,7280.1,7418.1,7520.8,7614.9,7792.2,7969.9,8206.4,8328.3,8429.9,8583.5,8686.5,8855.2,8986.9,9148.3,9289.5,9394.9,9490.6,9661.9,9835.7,10052,10169,10275,10427,10528,10704,10834,10999,11139,11241,11337,11513,11695,11915,12041,12148,12302,12406,12562,12662,12836,12969,13132,13274,13382,13474,13653,13836,14060,14192,14301,14463,14568,14746,14877
1197,1340,1507,1696.3,1870,2059.8,2271.1,2423.2,2525.4,2617.2,2847,3005.2,3191.9,3309.1,3447.9,3599.3,3738.1,3908.4,4048,4147.2,4233.1,4462.9,4614.5,4801.9,4909.8,5047.1,5209.2,5335.9,5515.3,5652.2,5752.2,5839.5,6068,6216.8,6403.8,6517.8,6652.1,6780.4,6909.4,7069.3,7196.2,7361.3,7495.7,7595.6,7686.1,7917.3,8070.2,8269.9,8387.2,8521.1,8638.7,8779.9,8932.5,9062.4,9233.4,9369.5,9471.5,9559.2,9778.9,9934.6,10124,10228,10364,10483,10618,10779,10915,11081,11217,11317,11415,11635,11798,11983,12098,12246,12358,12496,12619,12747,12914,13041,13212,13353,13458,13548,13774,13932,14133,14252,14393,14518,14656,14823,14958
