u,u,r,n,n,a,b,l,e,t,d,x
1139.6,1581.9,1744.7,1980.6,2123.3,2222.8,2314,2493,2667.1,2877.5,3012.6,3123.7
1184.1,1628.7,1817.2,2056.8,2194.1,2293.5,2379.6,2601.8,2750.7,2941.6,3083.9,3206.2
