u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1818,1971.8,2206.1,2354.8,2458.5,2551.8,2732.2,2907.8,3114.1,3240.6,3347.3,3505.2,3608.5,3773.4,3912.1,4071.8,4212.2,4313.9,4405.4,4589.2,4771.4,4988.5,5115.6,5222.9,5378.1,5479,5650.8,5784.5,5942,6078.6,6180.8,6277.2,6445.3,6617.2,6830.8,6963.5,7067.2,7220.2,7320.9,7504,7644.2,7801.5,7946.7,8044,8137.9,8329.3,8506.1,8724.5,8849.3,8956.1,9113,9215.2,9386.3,9525.8,9688.2,9827.2,9923.9,10021,10198,10378,10589,10719,10824,10974,11073,11228,11332,11512,11646,11815,11959,12061,12156,12328,12502,12720,12928,13009,13107
1849.6,2048.9,2284.2,2429.9,2531.5,2616.5,2842.3,2994.2,3176.5,3292.1,3426.7,3557.6,3684.3,3849.5,3988.9,4150.9,4288.2,4387.9,4475.1,4703,4863.2,5052.9,5169.4,5307,5433.2,5557.5,5725.5,5857.4,6022.1,6156,6255.8,6343.9,6553.8,6707.4,6899.2,7016.6,7151.9,7275.8,7399.2,7575.8,7712.8,7887.1,8022,8124.3,8205.6,8449.9,8600.5,8792.8,8907.9,9040.2,9170.4,9304,9459.6,9599.1,9769.2,9899.6,10002,10091,10313,10468,10661,10775,10912,11031,11157,11286,11411,11585,11723,11897,12036,12142,12227,12439,12598,12795,12980,13087,13176
