r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r
1633.6,1847,1986.8,2084.5,2178.1,2358.2,2527.7,2755.5,2885.2,2988.9,3154.6,3288.3,3446.4,3588.1,3687,3782.1,3961.2,4130,4334.8,4454.8,4560.1,4727.7,4854.2,5014.5,5155.5,5257.2,5353.4,5535.3,5705.9,5919,6037.1,6140.2,6292.1,6392.1,6557.2,6688.9,6840.2,6977.4,7075.6,7170,7343.9,7521.6,7733.2,7851.3,7952.9,8101.6,8201.9,8380,8530.2,8693.1,8833.1,8929.2,9022.8,9210.5,9383.8,9603.2,9727.5,9834.1,9982.8,10086,10260,10384,10549,10688,10786,10881,11057,11232,11462,11585,11692,11851,11954,12128,12262
1702.6,1919.6,2057.6,2157.2,2236.8,2459,2613.2,2816.4,2937,3062.9,3226.6,3356.1,3525.4,3661.5,3759.4,3842.3,4073.8,4215.9,4394.9,4507.2,4644.2,4801.4,4922.2,5095.8,5228.2,5330.2,5415.8,5650,5789,5976.4,6087,6229.2,6346.8,6480.8,6634.7,6756.4,6922.1,7050.8,7148.8,7235.8,7456.5,7608.4,7798,7904,8026.4,8153.1,8277,8456.6,8604.1,8768.9,8903.7,9009.2,9092.3,9323.8,9470.5,9670.8,9779.9,9913.2,10034,10165,10329,10454,10634,10761,10864,10952,11173,11320,11528,11640,11776,11908,12030,12201,12333
