u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1172.3,1335.7,1498,1653.3,1819.1,1981.1,2222.6,2373.1,2475,2569,2751.5,2929.7,3130.1,3263.8,3376,3553.9,3684.5,3843,4260.4,4406.4,4605.1,4745.4,4841.3,4936,5105.5,5285.6,5490.7,5618.3,5722.1,5881.1,5979.1,6138.1,6269,6424.4,6555.5,6655.6,6748.4,6915.5,7087.5,7296.4,7495.7,7583.2,7676.9,7849.5,8026.2,8231.8,8431.1,8521.5,8616.9,8786.9,8965.7,9170.1,9284.9,9384.4,9537.9,9638,9805.4,9939.6,10095,10232,10331,10424,10598,10774,10977,11183,11272,11371,11545,11731,11945,12066,12168,12314,12414,12578,12715,12881,13017,13117,13211,13390,13574,13777,13983,14078,14169,14341,14529,14749,14871,14976,15127,15228,15406,15540,15697,15837,15936,16031,16232
1203,1371.5,1538.8,1704.1,1871.7,2052.2,2289.8,2436.2,2544.8,2630.3,2861.9,2993.6,3194.8,3318.5,3457.2,3623.6,3760.8,3878.2,4330,4497.7,4684.7,4816.3,4915.9,5003.2,5226.5,5374.8,5557,5675.8,5809.8,5938.6,6066.8,6213.5,6344.2,6497.9,6628.3,6727.8,6817.8,7030.2,7184.1,7382.2,7555.9,7655.9,7745,7970.9,8119.8,8318.3,8494.4,8596.9,8691.1,8907.3,9054.2,9235.8,9342.5,9474.2,9601.8,9730.1,9882,10015,10173,10306,10402,10499,10715,10867,11062,11246,11353,11449,11671,11830,12012,12123,12267,12376,12506,12658,12791,12960,13094,13195,13288,13517,13669,13864,14050,14154,14245,14465,14632,14822,14931,15060,15190,15313,15478,15615,15777,15911,16013,16105,16356
