r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r
1599.8,1806.3,1950.8,2050.5,2146.4,2326.9,2491,2700.6,2826.6,2927.5,3097.5,3232,3384.3,3524.3,3618.4,3714.3,3890.4,4063.7,4249.4,4368.9,4472.3,4621.7,4719.5,4881.8,5013,5163.9,5304.8,5403.1,5495.9,5677.5,5846.2,6079.4,6197.5,6299.4,6458.2,6560.5,6739.8,6867.4,7028.1,7166.2,7263.7,7354.9,7531.6,7701.7,7924.9,8039.4,8140.3,8294.5,8394.8,8560.7,8685.1,8839.9,8974.9,9073.2,9166,9348.8,9524.4,9740.4,9858.3,9962.4,10108,10206,10397,10530,10699,10837,10932,11027,11216,11389,11577,11692,11797,11945,12044,12224,12354,12519,12662,12762,12856,13059,13233,13445,13649,13724,13818,14009,14188,14407,14531,14634,14783,14882,15045,15146,15325,15454
1668.8,1877.3,2021.6,2117.8,2205.4,2417,2572.2,2758.2,2873.4,3003,3165.8,3291,3460.5,3593.7,3689.9,3776.7,3992.9,4109.6,4311.2,4420.7,4549.2,4675.4,4802.2,4955.4,5077,5241.8,5379.1,5479.2,5560.8,5786.2,5930.6,6141.9,6249,6378.9,6508.8,6639.4,6811.6,6931.6,7107.8,7238.7,7336.8,7419.2,7644.6,7760.8,7987.2,8087.5,8216.3,8349,8476.5,8629.6,8756.2,8917.5,9050.8,9148,9227.5,9453.8,9608.8,9805.7,9912.4,10045,10155,10285,10466,10598,10781,10909,11008,11094,11324,11448,11640,11749,11881,12002,12124,12295,12430,12601,12740,12841,12924,13171,13319,13520,13700,13803,13883,14115,14279,14474,14584,14715,14833,14963,15098,15225,15395,15519
