u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,u,r,n,n,a,b,l,e,t,d,x,d,x,s,d,l,n,a,b,l,e,t
1206,1342.9,1491,1658.2,1815.9,1979.4,2197.4,2341.5,2438.9,2532.4,2705.6,2878.3,3080.5,3201.5,3302.6,3477.8,3606.2,3780.1,3924.1,4021.1,4141.3,4818.2,4949.2,5144.3,5280.1,5376.1,5470.9,5644.1,5816.4,6018.5,6135.3,6236.5,6387.1,6487.2,6646.7,6778.8,6934,7067.1,7166.2,7259.9,7427.1,7609.8,7817.5
1236,1391.1,1544.1,1703,1875.4,2065.8,2273.8,2411,2511.9,2596.3,2820.7,2966.2,3144.8,3264.4,3395.6,3552.2,3685.9,3860.7,3994.5,4117.8,4200.4,4880,5041.2,5228.3,5349.7,5454.8,5540.1,5766.7,5917.3,6086.1,6192.3,6328.9,6442.8,6582.6,6722.7,6854.8,7027.4,7140.7,7244.1,7332.2,7551.7,7700.3,7856.9
