u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x
1136.1,1270.6,1433.9,1604,1776,1989.2,2130.7,2226.2,2321.7,2496,2672,2920.3,3043.2,3150.8,3313.9,3447.5,3602.6,3738.8,3835.9,3926.6,4114.3,4285.1,4491.9,4613.3,4716.6,4879.5,5030.7,5155.7,5346.8,5484.7,5582.8,5678.3,5849.6,6019.5,6227.3,6351.1,6454.3,6626.1,6763.6,6919.2,7059.5,7159.1,7251.7,7425.5,7603.5,7812.7,7935.5,8038.6,8182.8,8285.9,8463.8,8597.5,8761.6,8904.2,9003.7,9098.5,9272.2,9451.9,9647.5,9845.2,9921.2,10017,10200,10380,10593,10799,10879,10971,11162,11344,11554,11682,11787,11938,12038,12204,12303
1175.1,1311,1483.5,1644.6,1862.1,2060.9,2197.8,2298.7,2381.9,2610,2762.6,2981.6,3100,3233.2,3381.8,3516.3,3675.2,3808.6,3908.3,3991.6,4219.8,4375.4,4551,4673.6,4795.1,4932.2,5085.9,5245.9,5425.4,5557.9,5659.3,5742.9,5964.3,6108.2,6291.6,6404.4,6529.9,6698.7,6839,6998.1,7134.8,7235.8,7318.1,7538.7,7693.8,7878.6,7990.1,8126.2,8238.8,8377.1,8537.1,8668.2,8844,8981,9076.9,9160.4,9393.6,9538.5,9723.9,9891,9999.6,10084,10314,10472,10677,10855,10955,11038,11281,11435,11622,11736,11875,11995,12124,12258,12389
