r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r
1519.1,1748.5,1890,1988.6,2081.5,2270.1,2441.4,2647.8,2771.2,2872,3034.7,3165.4,3333.2,3468.7,3565.1,3661.3,3844.3,4013.5,4228.9,4345.2,4451,4626.8,4762.2
1586.5,1823.1,1959.1,2058.1,2138.8,2363.9,2524.5,2711.2,2818.6,2946.2,3101.3,3230.8,3406.8,3536.8,3639.1,3724.4,3964.2,4099.5,4289.6,4399,4532.4,4700.1,4828.1
