r,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,r,n,a,b,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,u,r,n,n,a,b
1088.5,1375.7,1526.2,1735.2,1880.8,1980.1,2075.1,2274.3,2453.8,2662.9,2797.3,2904.7,3078.8,3220.1,3376.3,3525.5,3631.8,3731.7,3917.4,4089.5,4300.9,4423.6,4530.9,4686.7,4788.2,4959.9,5091.1,5253.6,5397.9,5501.9,5594.3,5767.7,5946.1,6158.6,6288.8,6393.5,6569.2,6670.1,6834.5,6966.8,7128.7,7273.2,7374.9,7474.6,7640.4,7821.9,8036.3,8235.9,8322.1,8418.9,8592.6,8771.8,8994.3,9117.7,9223.5,9376.4,9476.4,9639.1,9767.7,9928.6,10076,10177,10274,10459,10637,10865,10992,11099,11262,11364,11548,11682,11847,11989,12095,12190,12391,12579,12791,12996,13076,13176,13368,13559,13786,13911,14019,14174,14275,14456,14596,14796,14941,15046,15142,15320,15498,15724,15888,16098,16314,16405,16502,16889,17104,17247,17350,17446,17635,17817,18125,18258,18363,18519,18625,18802,18903,19081,19223,19397,19653,19792,20017,20162,20264,20362
1155.9,1418.2,1598,1805.9,1947.8,2048,2136.8,2380.1,2543,2721.7,2847.9,2983.9,3151.1,3282.1,3461.6,3604.7,3700.4,3792.9,4021.8,4178.2,4363.7,4474.2,4608.2,4740.9,4869.1,5028.4,5161.4,5332.1,5474.1,5575.8,5658.1,5884.2,6030.8,6228.4,6341.3,6480.5,6620.5,6748.8,6904.9,7037.2,7203.3,7350.2,7451.5,7538.6,7748.7,7911.7,8110.9,8298.7,8402.5,8486.4,8707.8,8861.5,9058.8,9173.5,9305.3,9426.5,9559.1,9716,9841.4,10016,10154,10259,10339,10576,10731,10932,11045,11180,11316,11447,11621,11756,11930,12072,12173,12259,12499,12668,12858,13042,13156,13241,13474,13652,13855,13966,14104,14230,14364,14532,14668,14875,15021,15123,15205,15434,15584,15789,15961,16176,16379,16485,16572,16968,17184,17327,17428,17510,17750,17912,18191,18310,18445,18574,18712,18857,18988,19158,19292,19459,19694,19876,20102,20235,20338,20423
