r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,r,n,a,b,l,e,s,d,x,d,x,s,r,n,n,a,b,l,e,l,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n
1729.4,1979.4,2125.1,2227.4,2326.1,2508.8,2686.1,2900.1,3025.5,3135.8,3312.5,3446.5,3606.8,3748.5,3848.3,3942.7,4123.2,4297.2,4513.1,4639.3,4747.9,4903.2,5005.5,5170.3,5304.8,5476.1,5611.8,5712,5805.4,5992.3,6166,6377.4,6495.5,6601.1,6757.2,6857.7,7023.3,7155.3,7308.2,7448.9,7547.6,7641.4,7814.7,7986.2,8177,8369,8446.7,8542.3,8718.2,8898.2,9117.4,9235.7,9340.9,9494.4,9596,9743.8,9845.1,10018,10146,10310,10452,10551,10646,10827,11005,11222,11344,11452,11602,11705,11867,12004,12174,12311,12413,12509,12689,12868,13081,13293,13379,13474,13674,13853,14085,14209,14316,14463,14567,14743,14882,15053,15196,15293,15392,15575,15761,15975,16211,16292,16388,16589,16777,17009,17173,17282,17436,17539,17729,17861,18033,18175,18275,18370,18564,18743,18975,19187,19423,19505,19602,19780,19965,20183,20309,20416,20566,20667,20855,20996,21183,21331,21431,21533,21718,21912,22175,22321,22528,22672,22770,22864,23044,23228,23456,23674,23762,23859,24045,24232,24474,24608,24715,24874,24980,25170,25307,25477,25629,25733,25828,26017,26207,26491,26634,26741,26903,27006,27192,27333,27527
1796,2051.3,2196.7,2301.2,2382.7,2604.5,2768.9,2961.2,3075.8,3216.6,3383.7,3516.3,3680.5,3822.8,3918.2,4007,4234.3,4386.9,4577.9,4690.8,4822.3,4954.9,5081.4,5242.6,5372.6,5551,5686.8,5787.2,5870.6,6097.5,6255.9,6445.2,6545.2,6683,6805.7,6933.7,7096.9,7223.4,7391.3,7521.2,7622.7,7708,7921.1,8057.3,8244.2,8419,8524,8607.1,8835.3,8985.6,9183.2,9288.3,9418.6,9546.8,9675.5,9795,9921,10086,10219,10393,10532,10624,10710,10943,11095,11290,11396,11535,11651,11785,11942,12077,12257,12390,12488,12574,12800,12960,13149,13350,13453,13544,13785,13945,14152,14262,14396,14518,14646,14818,14950,15131,15268,15369,15456,15680,15851,16040,16263,16369,16455,16695,16866,17079,17228,17365,17487,17615,17800,17934,18114,18252,18350,18436,18677,18838,19052,19262,19469,19578,19668,19891,20052,20253,20362,20501,20615,20746,20932,21067,21263,21405,21515,21598,21827,21957,22227,22399,22614,22743,22845,22931,23147,23313,23526,23734,23839,23927,24155,24317,24538,24659,24792,24922,25059,25240,25376,25562,25710,25809,25893,26126,26276,26555,26686,26810,26952,27089,27263,27403,27571
