u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,n,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b
1583.9,1740.5,1964.4,2106.1,2208.5,2306.5,2494.4,2672.2,2887.4,3012.9,3122.1,3305.5,3445,3618.3,3764.8,3867.3,3967.4,4180.5,4359.3,4559.6,4684.6,4794.9,4971.7,5113.5,5229.1,5430,5570.8,5672.5,5766.4,5944.4,6136.9,6333.5,6463.4,6569.1,6727.2,6830.7,7001.2,7135.1,7293.9,7434.8,7535.9,7630.4,7815.2,7995.2,8209.8,8351.9,8459.2,8625.5,8728.4,8916.6,9050.5,9218.4,9360.9,9465.6,9559,9735.8,9915.3,10141,10264,10372,10526,10629,10810,10943,11106,11252,11354,11453,11646,11825,12034,12230,12317,12414
1629.7,1818.7,2037.1,2178.2,2279.5,2369.4,2597.8,2762.1,2949.3,3065.4,3202.7,3375.6,3509.7,3700.3,3839.6,3945.2,4034.6,4282.1,4424.8,4621.2,4735.8,4874.3,5029.5,5164.4,5314.5,5517.9,5650.8,5751.2,5830.6,6056.6,6191.9,6398.3,6515.5,6653.8,6781.8,6912.1,7074.6,7199.7,7373.9,7513.6,7611.3,7700.1,7933.9,8088,8279.5,8413.8,8541.8,8683.2,8813.7,8990.6,9119.6,9303.2,9437.3,9542.5,9629.4,9854.3,10007,10213,10322,10454,10580,10714,10885,11012,11189,11330,11435,11524,11756,11914,12110,12291,12395,12484
