u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1314.4,1466.1,1610.9,1762.2,1989.9,2134.3,2233.4,2327.3,2504.1,2683.2,2883.4,3002.2,3106.3,3269.2,3399.9,3557.8,3698,3799.7,3893.7,4081.2,4252.6,4460.9,4596.3,4701.9,4870.2,5002.1,5162.9,5306.3,5407,5503.5,5675.3,5852.1,6059.1,6182.2,6286.7,6440,6538.2,6704.7,6835.9,7043.6,7184.4,7283.8,7378.8,7555.3,7731,7935.3,8060.2,8169.1,8332.1,8436.1,8599.1,8733.1,8900.3,9040.3,9139.2,9233.5,9415.8,9592.8,9800.9,9930.8,10037,10191,10293,10462,10601,10766,10905,11003,11097,11282,11462,11685,11812,11918,12077,12177,12358,12497,12668,12815,12916,13012,13198,13378
1363,1513.7,1659.2,1852.1,2068.5,2203.9,2305.4,2399.3,2620.3,2775.3,2951.2,3059.7,3195.5,3344.5,3471.6,3635.6,3774.2,3872.6,3962.2,4198.9,4350.1,4519.6,4658.7,4795.5,4945.8,5079.3,5246.4,5383,5481.4,5574.7,5801.1,5941.3,6127,6237.8,6382.4,6494.8,6622.2,6782.2,6914.2,7127.6,7261.7,7364.6,7453.3,7673.9,7825.2,8000.6,8120.8,8257.4,8388.1,8528,8677.6,8812.2,8980.1,9119.3,9217.3,9310.8,9536.2,9686.5,9874.1,9992.5,10118,10250,10384,10543,10673,10847,10982,11080,11174,11407,11568,11756,11870,12006,12142,12269,12439,12587,12753,12891,12995,13088,13323,13480
