r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,u,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l
1687.2,1973.5,2118.2,2223.3,2318.8,2510.8,2694.5,2899.6,3040.9,3155.4,3317.3,3456.2,3623.6,3767.9,3877.8,3973.1,4157.4,4339.6,4556.2,4688.4,4796.1,4965.4,5069.8,5247.6,5387.2,5558.2,5701.3,5802.6,5901,6067.4,6249.8,6469.9,6594.2,6701.8,6856,6956.7,7125.4,7259.3,7419.6,7561.3,7660.3,7753.8,7940.3,8120.8,8338.6,8463.2,8570.3,8733.8,8839.9,9006.7,9147.8,9302.2,9454.9,9651.2,9850.8,9981.1,10182,10320,10420,10516,10695,10874,11090,11221,11327,11482,11585,11748,11882,12050,12195,12293,12391,12569,12751,12961,13166,13247,13342,13527,13706,13932,14062,14169,14326,14430,14628,14763,14928,15081,15182,15281,15478
1770.5,2040.8,2190.2,2292.7,2377,2616.7,2759.9,2962.3,3094.8,3236.9,3386.6,3525,3703.7,3850.7,3954.6,4041.3,4272.8,4432.5,4623.4,4743.8,4885.9,5019.3,5159.7,5324,5454.2,5639.8,5776.8,5880.4,5964.9,6179.9,6342.4,6531.1,6648.7,6782.6,6908.4,7042.8,7201,7335.4,7502.7,7638.8,7737.2,7823,8059.5,8210.1,8404.2,8517.8,8657.4,8787.6,8924.1,9086.3,9218.5,9387.6,9503.4,9692.9,9907.3,10076,10265,10394,10496,10582,10811,10969,11159,11274,11406,11536,11664,11821,11954,12132,12270,12373,12460,12690,12845,13043,13211,13324,13410,13644,13801,13999,14116,14254,14383,14512,14702,14840,15011,15154,15259,15351,15595
