u,u,u,u,u,r,n,n,a,b,l,e,t,d,x,u,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1207.1,1342.9,1471.9,1632.9,1817.2,1971.9,2180.7,2320.3,2419.6,2511.7,2694.6,2873.9,3088.2,3217.6,3323.8,3460.3,3501.6,3637.4,3805.2,3942.8,4045.4,4137.9,4309.8,4483.2,4693.1,4814.8,4921.7,5083,5214.3,5380.7,5520.8,5619.5,5715.6,5887.4,6066.1,6282.8,6405.7,6509.8,6661.5,6761.5,6928.8,7061.9,7217.4,7360.7,7461.3,7558.7,7728.4,7904.7,8102.7,8326.6,8401.5,8497.1,8673.8,8847.9,9055.9,9180.2,9283.1,9435.4,9541,9710,9841.2,9998,10143,10240,10336,10511,10694,10898,11098,11177,11271,11446,11628,11840,12048,12147,12246,12422,12605,12832,13068,13131,13228,13410,13594,13800,13919,14023,14168,14269,14448,14582,14747,14884,14979,15072,15267,15450,15702,15826,15930,16077,16179,16368,16507,16680,16827,16928,17022,17204,17395,17606
1255.4,1386.3,1518.3,1684,1866.4,2051.5,2252.8,2393.5,2495.4,2579.3,2814.9,2968.6,3152.6,3278,3414.2,3490.4,3575.4,3713.8,3880.7,4013.2,4120.4,4207.4,4426.7,4575.6,4753.4,4868.2,5014.9,5155.6,5287.5,5461.3,5593.7,5694.2,5791.2,6005.6,6156.4,6348.4,6465.8,6605,6720,6848.6,6999,7133,7298.3,7437.7,7538.9,7627.5,7844.5,7999,8181.1,8374.4,8482.9,8564.5,8789.7,8905.7,9122.4,9235.8,9378.9,9493.7,9634.8,9784.8,9926,10080,10216,10316,10405,10634,10788,10987,11146,11255,11344,11566,11722,11934,12122,12227,12316,12542,12698,12923,13106,13211,13301,13532,13654,13869,13978,14109,14225,14361,14520,14669,14829,14958,15054,15143,15391,15538,15774,15884,16019,16133,16269,16444,16584,16766,16901,17006,17092,17319,17486,17690
