u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w
1457.9,1597.8,1798.2,1982.5,2222.8,2374.8,2481.2,2578.8,2772.7,2960.4,3163.3,3301.2,3414.9,3597.6,3740.8,3913.8,4055.7,4162.5,4258.7,4436.8,4615.3,4830.9,4962.8,5074.3,5242.1,5382.1,5555,5699.8,5800.2,5899.1,6074.4,6267,6506.3,6634.5,6740.8,6903.1,7005.8,7196,7334,7503.1,7640.6,7742.4,7837.7,8021.8,8204.2,8406.1,8607.9,8696,8792.2,8969.5,9154.2
1505.5,1654.7,1850.5,2067,2299.4,2450.5,2556.5,2645.3,2885.6,3020.8,3221.7,3362,3497.5,3672.9,3815.5,3986.3,4134.5,4237.8,4332.6,4556.4,4703.9,4896.9,5023.5,5165.8,5315.9,5463.2,5632.6,5774.1,5874.9,5969.1,6192.8,6362.8,6570.1,6694.4,6826.8,6963.4,7105.6,7264.3,7405.4,7584.6,7716,7819.3,7908.2,8151.4,8297.5,8497.4,8669.2,8775,8865.3,9095.4,9195.5
