r,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b
1240.2,1415.2,1616.9,1814.9,1973.9,2227.3,2368.6,2470.6,2562.5,2738.4,2919.3,3134.2,3266.9,3377.5,3540,3676.8,3836.1,3975.2,4075.7,4172.2,4344.6,4524.3,4726.1,4862.6,4967.8,5141.8,5269.2,5437.9,5576.6,5676.5,5772.1,5949.3,6126.2,6337.2,6464.4,6570.7,6715.5,6816.1,6974.4,7108.2,7271,7415.6,7519.8,7613.2,7782.8,7959.9,8185.4,8320.7,8426.4,8579.3,8681.3,8858.1,8993.2,9161.8,9297.2,9396.4,9490.4,9675.3,9858.5,10071,10198,10304,10467,10573,10743,10876,11038,11176,11274,11373,11553,11739,11962,12091,12195,12347,12449,12623,12757,12929,13080,13178,13272,13453,13636,13850,13978,14174,14382,14467,14561,14746,14931,15151,15288,15395,15550,15653,15829,15965,16132,16274,16381,16476,16665,16850,17096,17241,17353,17507,17612,17803,17952,18125,18273,18376,18471
1292.2,1459.4,1666.6,1858.7,2075.6,2300.8,2442.4,2542,2629.8,2857.2,3015.2,3200.5,3326.6,3465.3,3614.2,3747.4,3917,4054,4151.7,4240.1,4462.2,4616.7,4792.7,4920.9,5059.8,5218.8,5347.1,5519.3,5651.6,5751.9,5844.8,6070.8,6220.2,6403.3,6522.7,6660,6776.2,6901.8,7052.1,7184.2,7355,7485.8,7595.1,7684.4,7899.1,8053.6,8249.4,8379.9,8514.9,8643.8,8770.9,8929.7,9069.8,9242.6,9372.2,9473.3,9563.6,9798,9958.3,10147,10261,10393,10525,10662,10824,10959,11118,11254,11354,11441,11668,11842,12032,12149,12287,12406,12539,12700,12837,13012,13157,13257,13350,13573,13727,13903,14060,14262,14444,14549,14639,14874,15034,15228,15351,15484,15611,15749,15909,16051,16214,16355,16459,16552,16784,16947,17169,17301,17440,17567,17699,17880,18029,18202,18353,18455,18543
