u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t
1082.4,1253.9,1421.6,1587.8,1742.6,1984.7,2133,2240.2,2338.2,2536.2,2721.8,2935.7,3064,3174.2,3352.6,3492.9,3669.7,3812.2,3910.7,4006.3,4188.5,4368.9,4584.8,4712.2,4817.2,4971.9,5072,5237.7,5372.8,5536.5,5678.9,5782.3,5877.8,6062.9,6238.7,6456.5,6586.8,6692,6849.9,6952.2,7131.6,7268.8,7474.1,7610.8,7707.5,7805,7978.5,8151.6,8379.7,8510.7,8616.4,8771.4,8874.2,9045.8,9182.2,9348.4,9490.4,9591.5,9687,9860.8,10040,10254
1128.5,1292.9,1454.6,1649,1832.5,2071.6,2206.1,2312.2,2403.2,2643.7,2814.2,2997.6,3119.2,3256.6,3431.1,3565,3751.3,3885,3984.7,4070.2,4303.5,4465.3,4651.8,4769.8,4902.1,5024.8,5150.5,5313.8,5450.2,5613.2,5758.3,5861,5942.2,6182.9,6330.7,6521.7,6644,6781.9,6908.2,7041.5,7206.7,7342.7,7555.1,7684.7,7787.3,7874.9,8099.2,8245.7,8448.5,8569.7,8696.3,8825.1,8959.8,9120.4,9253.6,9428.8,9567.6,9666.8,9752.1,9983,10138,10327
