r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e
1596.6,1839,1979.8,2077.8,2174.8,2365,2544.9,2769.3,2903.4,3012.1,3181.8,3317.8,3477,3614,3717.2,3815.9,3998,4170.3,4386.8,4507.5,4614.4,4792.4,4921.3,5088.1,5221.2,5322.5,5418.7,5593.4,5773.7,5979,6185.8,6273.6,6372,6554.2,6733.2,6943.2,7061.6,7166.1,7319.1,7418.5,7593.6,7726.2,7877.4,8023.5,8122.6,8220.3,8400.7,8579.6,8794.1,8996.8,9079.4,9175.7,9360.4,9538.2,9734.4,9932.1,10037,10134,10305,10484,10696,10816,10922,11072,11175,11341,11476,11646,11787,11889,11989,12178,12364,12584,12704,12809,12961,13062,13233,13375,13531,13672,13768,13867,14045,14228,14448,14656,14740,14838,15017,15204,15422,15545,15652,15809,15911,16086,16221,16394,16536,16641,16737,16929,17119,17331,17458,17564,17723,17826,18015,18147,18309,18452,18550,18646,18820,19004,19218,19734,19876,20084,20231,20334,20430,20609,20798,21033,21155,21261,21420,21524,21695,21840,22018,22168,22274,22371,22555,22742
1664.3,1904.6,2047.1,2150.6,2238.7,2472.5,2632.5,2834.2,2957.5,3097.2,3246.1,3390,3550.7,3689.8,3794.2,3883.3,4112.4,4265.3,4454.1,4566.2,4692.8,4862.7,4989.8,5166.4,5296.3,5395.6,5484,5710.5,5867,6056.2,6246.6,6349.7,6438.5,6672.5,6827.2,7005,7112.1,7244.8,7372.6,7505.4,7669.6,7799.1,7962.3,8099.5,8201.7,8288.7,8526.6,8677.2,8873,9045.3,9153.6,9241.8,9479.3,9629.8,9807.4,10015,10112,10202,10432,10580,10763,10869,11001,11130,11258,11418,11550,11731,11870,11970,12058,12295,12457,12655,12764,12894,13016,13156,13311,13445,13616,13745,13848,13938,14163,14322,14525,14710,14819,14907,15133,15275,15491,15598,15730,15866,15996,16163,16296,16473,16617,16720,16806,17054,17210,17400,17512,17646,17776,17913,18088,18220,18390,18527,18629,18714,18943,19096,19299,19797,19959,20171,20312,20413,20499,20730,20893,21101,21214,21353,21476,21609,21776,21913,22099,22244,22356,22439,22673,22822
