u,r,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r
1233.7,1378.8,1765.2,1978.9,2120.6,2223,2314.7,2509.8,2690,2908.6,3033.2,3138.7,3308.8,3442.8,3607,3743,3839.9,3932,4111.3,4285.5,4508.8,4636.6,4738.8,4897.4,4995.5,5164.2,5292.4,5445.4,5583.5,5680.3,5772.2,5951.8,6123.6,6342,6467.4,6570.7,6746.5,6872.5,7033,7170.9,7266.1,7359.5,7539.7,7713.1,7896.9,8085,8167.7,8260.6,8432.2,8609.6,8815.1,8931.2,9033.2,9192.8,9294.9,9469,9598.2,9759.3,9898,9996.9,10091,10254,10435,10660,10777,10877,11023,11126,11322,11456,11614,11758,11861,11955,12152,12325,12537,12660,12763,12913,13013,13188,13320,13489,13632,13733,13830,14007,14187,14404,14528,14634,14790,14888,15073,15207,15390,15531,15630,15724,15899,16083,16280
1266.2,1453.1,1840.2,2054.2,2191.1,2292.4,2374.3,2611.5,2776.8,2969.6,3082.7,3213.8,3373.6,3511.2,3682.7,3817.4,3912.1,3996.1,4222,4371.6,4570.4,4688.8,4813.1,4949.1,5082,5230.2,5368.1,5525.4,5653,5756.2,5841.1,6064.8,6213.2,6405,6523.2,6660.7,6818.9,6948.1,7116.3,7244.1,7340.5,7427.4,7666.5,7801.4,7973,8145.5,8243.7,8331.3,8556,8698.9,8884.2,8989,9122.4,9248.8,9376,9544,9674,9840.3,9971.2,10073,10156,10380,10526,10727,10833,10960,11083,11221,11394,11531,11695,11837,11939,12022,12267,12419,12606,12721,12846,12966,13100,13267,13397,13574,13711,13811,13895,14117,14277,14471,14582,14714,14846,14978,15146,15282,15469,15607,15709,15799,16019,16175,16356
