u,r,n,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,n,u,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,u,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l
1001.1,1149.1,1363,1605.4,1770.7,1968.4,2105.9,2203,2300.9,2465.7,2636.6,2850.7,2972.2,3077.1,3242.1,3376.4,3543.6,3681.2,3779.7,3873.9,4060.9,4234.1,4779.2,4913.4,5106.2,5243.5,5339.8,5436.8,5620.7,5794.5,5991.5,6181.5,6269.7,6366,6532.6,6709.7,6916.1,7112.8,7191.9,7289.8,7465.2,7639.5,7853.5,7967.6,8073,8223.7,8323.7,8489.9,8617.8,8769.6,8906.5,9007.3,9104,9290.1,9466.8,9693.4,9811.7,9916.2,10072,10172,10333,10473,10681,10769,10867,11035,11219,11436,11559,11665,11820,11923,12088,12226,12388,12529,12626,12723,12897,13073,13279,13481,13570,13668,13951,14089,14292,14433,14531,14630,14808,14988,15216,15333,15438,15596,15698,15875,16007,16172,16322,16423,16518,16710,16891,17113,17330,17414,17511,17704
1047.8,1230.3,1402.6,1651.2,1841.9,2042.6,2174.9,2275.2,2361.9,2574.8,2723.8,2909.3,3022.9,3157.3,3319.5,3447.9,3619.5,3752.2,3855.8,3936.5,4164.7,4276.1,4827.3,4998.9,5183.8,5316.4,5415.1,5501.6,5738.2,5882.3,6059.6,6245.1,6346.6,6432.1,6647.9,6797.2,6982.3,7167.5,7265.2,7357.8,7578.2,7731,7917.4,8024.3,8149.9,8275,8399.4,8563.5,8689.8,8851.7,8982.7,9087,9173.7,9402.6,9557.3,9756.3,9862,9997.8,10121,10254,10407,10551,10743,10849,10933,11155,11312,11501,11612,11751,11876,11998,12157,12293,12467,12602,12702,12791,13002,13168,13359,13538,13646,13732,13994,14170,14371,14506,14608,14692,14923,15077,15282,15386,15521,15649,15775,15946,16078,16251,16396,16502,16585,16820,16986,17189,17388,17490,17580,17816
