u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,r,n,u,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,w
1049.6,1215.2,1418.9,1593.8,1751,1983.9,2132,2234.2,2324.2,2503.1,2680.2,2900.7,3031.9,3137.4,3320.9,3457.4,3622.2,3766.4,3867.7,3962.2,4140.1,4318.1,4533.5,4664.9,4765.5,4934.9,5067.4,5229.5,5371.4,5470.2,5561.8,5746.1,5927,6142.2,6271.8,6376.6,6551.3,6691,6864.2,6999.3,7094,7190.2,7369.5,7543.2,7745.8,7940.9,8023,8118.9,8292.2,8471.9,8687.8,8809.7,8913.2,9076.8,9175.2,9344.3,9477.9,9640.3,9776.5,9878.4,9971.2,10153,10334,10552,10676,10778,10961,11102,11265,11408,11506,11600,11782,11962,12168,12373,12458,12556,12745,12928,13170,13380,13631,13795,13932,14137,14276,14374,14471,14642,14823,15038,15165,15269,15416,15518,15691,15795,15971,16109,16270,16410,16514,16607,16800,16980,17189,17397,17480,17575,17758,17955
1094.5,1261.7,1459.3,1646,1837.1,2058.1,2203.5,2304,2386.8,2622.1,2768.5,2962,3090.4,3222.7,3389.5,3527.9,3701.4,3842.7,3942,4030.2,4253.8,4408.9,4599,4716.4,4845.9,5006.7,5145.2,5300.7,5444.5,5540.4,5627.8,5865.7,6023.5,6208.9,6331.2,6457.4,6629.6,6767.4,6941.4,7071.2,7171.3,7261.9,7492.3,7635.7,7830.5,7997.4,8100.1,8185.3,8415.7,8563.5,8750.4,8866.3,9009.5,9132.5,9259.2,9418.9,9562.9,9722.5,9853,9955.1,10041,10277,10434,10622,10740,10868,11036,11181,11347,11482,11581,11675,11906,12059,12250,12433,12539,12622,12864,13005,13261,13446,13666,13856,14026,14216,14350,14449,14541,14769,14919,15108,15222,15357,15474,15608,15750,15883,16047,16184,16356,16488,16590,16680,16924,17075,17277,17454,17557,17649,17881,17999
