r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r,n,a,b,l,e,t,d,x,d,x,s
1748.9,1966.3,2113,2213,2307.9,2486.9,2655.3,2866.1,2983.1,3088.5,3256.6,3383.8,3550.8,3694.9,3792.9,3884.2,4061.4,4233.2,4441.4,4548.9,4747.5,4825.4,4923.4,5105.2,5277.1,5493.1,5609.5,5714.6,5867.3,5965.5,6128.9,6255.4,6418.8,6554.7,6650.7,6743.3,6921.7,7099.2,7323.7,7440.1,7544.3,7688.9,7789.5,7960,8092.8,8247.5,8381.3,8484.2,8574.6,8775.2,8950,9161.2,9294,9489.1,9573.9,9667.9,9834.2,10011,10240,10356,10459,10605,10705,10894
1809.8,2036.2,2183.3,2282.3,2367.3,2584.7,2739.5,2925.7,3030.5,3165.4,3325.6,3451.5,3633.1,3765.1,3861.7,3949,4163.4,4320.9,4488.9,4610.6,4792.3,4896.1,4985.5,5204.8,5366.4,5552.3,5659.5,5791.4,5916.6,6041.5,6196.3,6319.1,6494.6,6627.6,6724,6803,7025.7,7193.5,7387.9,7491.5,7621.3,7745.3,7868.2,8034.7,8160,8331.1,8463,8557.4,8640.6,8881,9035.8,9219.8,9370.2,9548.1,9649.2,9732.4,9944.8,10094,10304,10405,10535,10657,10788,10943
