u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,r,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,s,r,n,n,a,b,l,e,n,r
1279.4,1432.3,1611.3,1810.6,1976.8,2231.1,2383.9,2496.8,2596.4,2769.4,2949.6,3159.5,3287.2,3395.6,3567.3,3705.2,3868.1,4009.3,4114.9,4210,4389,4563.9,4787.8,4918.3,5025.8,5184.6,5287,5461.7,5599.9,5766.2,5905.8,6004.7,6098.8,6274.7,6451.3,6667.7,6788.3,6892.1,7053.1,7153.9,7318.4,7453.4,7607.3,7751.2,7854.4,7952.3,8125.6,8295.8,8506.4,8703.2,8795.4,8897.2,9083.6,9262.1,9463.8,9593.2,9697.1,9858.4,9959.6,10127,10256,10419,10561,10662,10758,10926,11111,11334,11482,11589,11737,11840,12016,12161,12335,12484,12585,12681,12860,13045,13269,13392,13499,13656,13761,13954,14097,14281,14430,14531,14628,14830,15016,15233,15340
1319.6,1482,1663.7,1855.8,2063.2,2303.8,2464,2571.2,2657.6,2863.2,3039.6,3221.1,3339.6,3476.2,3638.2,3771.5,3949.5,4086.7,4189.2,4274.1,4490.8,4655.9,4853.4,4978,5115.4,5242.4,5365.6,5538.1,5668.6,5840.9,5979.6,6078.6,6165.6,6386.9,6545.3,6731.7,6846.8,6977.1,7108,7238.6,7397.3,7520.9,7687,7829.2,7931.6,8018.5,8236.9,8390.9,8587.6,8774.1,8877.8,8961.6,9196.2,9352.7,9535.2,9646.4,9779.7,9915.8,10046,10203,10332,10502,10637,10740,10828,11044,11207,11407,11539,11674,11796,11923,12094,12236,12422,12558,12662,12748,12973,13139,13341,13452,13583,13708,13848,14032,14176,14362,14509,14606,14695,14942,15110,15296,15420
