u,u,u,u,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,d,x,s,r,n,n,a,b,l,e,t,u,u,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,d,x,s,r,n,n,a,b,l,e,t,d,x,d,x,u,u
1329.3,1475.6,1637.3,1807.2,1969.9,2189.3,2330.7,2427.5,2521.3,2688,2861.9,3056.6,3178.1,3280.6,3439.4,3571,3732.8,3873.1,3970.7,4070.8,4244.8,4418.9,4629,4765.4,4879.2,5057.7,5190.3,5368.5,5507,5602.8,5699,5871.2,6043.6,6256,6475.7,6635.6,6764.4,6960.6,7100.3,7200.9,7292.1,7478.7,7647.1,7851.5,7970.4,8075.9,8230.5,8328.5,8488.6,8589.5,8751.8,8883.6,9051.8,9192.6,9289.6,9387.8,9562.5,9737.8,9956,10078,10186,10339,10439,10595,10696,10904,11046,11231,11379,11478,11573,11756,11928,12150,12290,12398,12550,12649,12825,12927,13109,13237,13408,13551,13655,13752,13930,14111,14332,14461,14564,14724,14827,15282,15449
1372.1,1524,1680,1858,2063.7,2265.6,2403.6,2500.3,2589.7,2808,2952.3,3117.7,3229.1,3366,3510.6,3648.2,3809,3946.5,4048.1,4136.1,4361.5,4515.4,4695.1,4827.6,4960.5,5145.4,5256.7,5443.8,5578.6,5680.5,5764.5,5981,6132.6,6315,6524.2,6687.5,6844.4,7040.7,7177.8,7275.4,7358.3,7590.9,7741.1,7917.5,8025.6,8162.2,8283.1,8414.5,8542.2,8672.2,8830.1,8952.5,9132.7,9268.2,9368.4,9452.6,9680.2,9827.9,10021,10134,10264,10391,10526,10649,10780,10973,11113,11313,11453,11550,11637,11867,12019,12219,12344,12482,12602,12732,12876,13008,13179,13310,13488,13632,13738,13819,14045,14205,14402,14517,14652,14783,14914,15328,15500
